col,n,min,max,q1,q3,iqr,upper_fence,lower_fence,n_upper_outliers,max_upper_outlier
pred,34914,0.0003083907467725,0.0057582042489462,0.0016219057092675,0.003272053998501725,0.0016501482892342248,0.005747276432353062,-0.0008533167245838372,1,0.0057582042489462
pred_base_postprocess,34914,0.0,0.0037813746114636,0.0017973431883202,0.003257578542325725,0.0014602353540055248,0.005447931573334012,-0.000393009842688087,0,
