ufs_serial,pred,pred_base_postprocess,health
S00000,0.00021943283356611618,0.0004911903193367346,0.0
S00002,0.00017752959408831018,0.0005749967982923467,0.0
S00003,0.00010928791010489966,0.0007114801662591678,0.0
S00004,0.0001862441474066866,0.0005575676916555938,0.0
S00009,0.0001567401945304622,0.0006165755974080427,0.0
S00012,0.00015055266363956244,0.0006289506591898421,0.0
S00013,0.0002418258500706685,0.0004464042863276301,0.0
S00015,0.0028978592477500033,0.002964253219594644,0.0
S00017,0.0018084490462268623,0.0020560238726926427,0.0
S00018,0.0035361271049185504,0.003501085401811653,0.0
S00020,0.0036172976253118837,0.003338744361024986,0.0
S00021,0.0035029889073584617,0.0030736337663737454,0.0
S00022,0.002190005779323171,0.002261009069009958,0.0
S00023,0.0029049223011581816,0.002950127112778288,0.0
S00024,0.0036030457874218383,0.003367248036805077,0.0
S00025,0.0034347753990146253,0.0032100607830614176,0.0
S00026,0.003565027103178499,0.003443285405291756,0.0
S00027,0.003443425467565668,0.0031927606459593327,0.0
S00028,0.003559059396769573,0.003455220818109607,0.0
S00029,0.002905779084723053,0.0029484135456485446,0.0
S00031,0.0034056994013009117,0.003268212778488845,0.0
S00032,0.003582173802170051,0.0034089920073086515,0.0024556306573382
S00034,0.0034064039060132333,0.003266803769064202,0.0
S00035,0.0034359726061147866,0.0032076663688610954,0.0
S00037,0.003170174586737644,0.0029923275421377305,0.0024203995363741
S00038,0.0036247761736452355,0.0033237872643582826,0.0
S00039,0.0029749597413885357,0.002810052232317579,0.0024294149851399
S00041,0.003165632709626178,0.0030014112963606624,0.0024488066378919
S00042,0.0034191011860466064,0.003241409208997456,0.0024355223631917
S00043,0.003024233327752943,0.0027115050595887644,0.0
S00044,0.0013018068083837783,0.001889588665022214,0.0
S00047,0.002171893572715438,0.0022972334822254246,0.0024454088310256
S00049,0.00350494493619994,0.0030697217086907893,0.0
S00051,0.0013270492289126526,0.0018391038239644654,0.0023918839575332
S00052,0.0017871934108823863,0.0020985351433815947,0.0
S00056,0.002972224077729949,0.002815523559634753,0.0024112401634015
S00057,0.0029613431404102893,0.002837285434274072,0.0
S00058,0.0034909594082695432,0.0030976927645515817,0.0
S00059,0.002911546140069737,0.002936879434955177,0.00240752581914
S00061,0.003488982320530222,0.003101646940030225,0.0
S00062,0.0029044042163750227,0.0029511632823446053,0.0
S00063,0.002935829536754887,0.002888312641584876,0.0
S00064,0.0034449730971950875,0.0031896653867004936,0.0
S00065,0.003439989399258339,0.003199632782573991,0.0
S00068,0.003448246905478303,0.0031831177701340634,0.0096413121496052
S00069,0.0034693328732279824,0.0031409458346347034,0.0024141213958187
S00071,0.003579834477362788,0.003413670656923178,0.0
S00072,0.003605260199692415,0.003362819212263924,0.0
S00075,0.0034673067664059286,0.0031449980482788115,0.0
S00079,0.0036179772553569488,0.0033373851009348555,0.0
S00080,0.003598260122598774,0.003304347639331102,0.0024551575598599
S00081,0.0035840497105449247,0.003405240190558904,0.0048692551117381
S00084,0.0035609201211971478,0.003451499369254458,0.0
S00086,0.002956636110984792,0.002846699493125067,0.0
S00087,0.0035932340268705646,0.0033868715579076247,0.0071833265884257
S00092,0.0029934139673563507,0.0027731437803819496,0.0
S00096,0.0036242783326147004,0.003324782946419353,0.0
S00098,0.003601699448170399,0.003297468988187852,0.0
S00099,0.0029031481831890207,0.0029536753487166088,0.002429023161249
S00101,0.00346251629469813,0.0031545789916944088,0.0047811447811447
S00103,0.0034797345202044454,0.0031201425406817774,0.0023947190902958
S00106,0.0035931211141021994,0.0033870973834443548,0.0
S00108,0.0035522235280812673,0.003468892555486219,0.0
S00109,0.002928455766824615,0.002903060181445421,0.0024466006035276
S00111,0.0035549498050721773,0.0034634400015043994,0.0
S00113,0.003580353171019475,0.0034126332696098032,0.0
S00114,0.0029070202950665083,0.0029459311249616336,0.0
S00116,0.0036095735634092225,0.0032817207577102046,0.0
S00120,0.003422489432212656,0.0032346327166653563,0.0
S00121,0.003593873741365341,0.003313120401797968,0.0
S00122,0.0031684168840310245,0.0029958429475509694,0.0
S00123,0.0034641281373275295,0.0031513553064356097,0.0120079634300735
S00124,0.003411525695020284,0.003256560191050101,0.0
S00126,0.0022142447824715123,0.002212531062713276,0.0145181549966406
S00127,0.003438763749893576,0.003202084081303516,0.0
S00128,0.003486866746504623,0.0031058780880814226,0.0023878847281078
S00129,0.001839820787561273,0.0019932803900238215,0.0071621056878935
S00130,0.003487118644118131,0.0031053742928544062,0.0048756321399316
S00131,0.0034762019546238044,0.0031272076718430594,0.0
S00132,0.002990277165157409,0.002779417384779833,0.0
S00133,0.0029583583922917966,0.0028432549305110574,0.0
S00134,0.0034667555652607624,0.003146100450569144,0.0
S00135,0.0034320544930652908,0.003215502594960087,0.0024002704530087
