ufs_serial,feature,shap_value,feat_norm,rank
S00240,X818,0.006902467071493597,0.0,0
S00242,X818,0.006902467071493597,0.0,0
S00250,X818,0.006902467071493597,0.0,0
S00263,X818,0.006902467071493597,0.0,0
S00279,X818,0.006902467071493597,0.0,0
S00285,X818,0.006902467071493597,0.0,0
S00287,X818,0.006902467071493597,0.0,0
S00292,X818,0.006902467071493597,0.0,0
S00300,X818,0.006902467071493597,0.0,0
S00301,X818,0.006902467071493597,0.0,0
S00305,X818,0.006902467071493597,0.0,0
S00317,X818,0.006902467071493597,0.0,0
S00320,X818,0.006902467071493597,0.0,0
S00322,X818,0.006902467071493597,0.0,0
S00330,X818,0.006902467071493597,0.0,0
S00337,X818,0.006902467071493597,0.0,0
S00338,X818,0.006902467071493597,0.0,0
S00345,X818,0.006902467071493597,0.0,0
S00348,X818,0.006902467071493597,0.0,0
S00359,X818,0.006902467071493597,0.0,0
S00364,X818,0.006902467071493597,0.0,0
S00365,X818,0.006902467071493597,0.0,0
S00368,X818,0.006902467071493597,0.0,0
S00372,X818,0.006902467071493597,0.0,0
S00375,X818,0.006902467071493597,0.0,0
S00386,X818,0.006902467071493597,0.0,0
S00387,X818,0.006902467071493597,0.0,0
S00399,X818,0.006902467071493597,0.0,0
S00401,X818,0.006902467071493597,0.0,0
S00407,X818,0.006902467071493597,0.0,0
S00415,X818,0.006902467071493597,0.0,0
S00419,X818,0.006902467071493597,0.0,0
S00421,X818,0.006902467071493597,0.0,0
S00425,X818,0.006902467071493597,0.0,0
S00427,X818,0.006902467071493597,0.0,0
S00428,X818,0.006902467071493597,0.0,0
S00431,X818,0.006902467071493597,0.0,0
S00437,X818,0.006902467071493597,0.0,0
S00444,X818,0.006902467071493597,0.0,0
S00449,X818,0.006902467071493597,0.0,0
S00459,X818,0.006902467071493597,0.0,0
S00460,X818,0.006902467071493597,0.0,0
S00466,X818,0.006902467071493597,0.0,0
S00468,X818,0.006902467071493597,0.0,0
S00477,X818,0.006902467071493597,0.0,0
S00480,X818,0.006902467071493597,0.0,0
S00489,X818,0.006902467071493597,0.0,0
S00490,X818,0.006902467071493597,0.0,0
S00492,X818,0.006902467071493597,0.0,0
S00494,X818,0.006902467071493597,0.0,0
S00496,X818,0.006902467071493597,0.0,0
S00504,X818,0.006902467071493597,0.0,0
S00506,X818,0.006902467071493597,0.0,0
S00507,X818,0.006902467071493597,0.0,0
S00528,X818,0.006902467071493597,0.0,0
S00533,X818,0.006902467071493597,0.0,0
S00535,X818,0.006902467071493597,0.0,0
S00542,X818,0.006902467071493597,0.0,0
S00544,X818,0.006902467071493597,0.0,0
S00546,X818,0.006902467071493597,0.0,0
S00556,X818,0.006902467071493597,0.0,0
S00563,X818,0.006902467071493597,0.0,0
S00569,X818,0.006902467071493597,0.0,0
S00573,X818,0.006902467071493597,0.0,0
S00591,X818,0.006902467071493597,0.0,0
S00592,X818,0.006902467071493597,0.0,0
S00596,X818,0.006902467071493597,0.0,0
S00597,X818,0.006902467071493597,0.0,0
S00601,X818,0.006902467071493597,0.0,0
