run_id,wafer_no,total_dies,risk_dies,avg_ppm
13,20,67,5,2614.4
13,21,67,0,2517.4
14,1,55,39,3342.3
14,2,70,61,3376.3
14,4,67,4,3115.2
14,5,66,55,3392.9
14,6,58,23,3179.1
14,7,64,42,3297.7
14,8,59,29,3273.6
14,10,68,28,3227.6
14,12,58,4,3038.7
14,13,72,46,3322.9
14,14,61,27,3270.5
14,16,56,8,3034.8
14,17,58,14,3250.6
14,18,72,0,646.5
14,19,74,0,721.1
14,20,62,0,901.6
14,22,74,0,945.6
14,23,67,0,561.6
14,24,69,0,463.5
14,25,69,0,952.4
15,2,73,0,607.2
15,3,78,0,857.0
15,4,69,0,672.2
15,6,66,0,550.1
15,8,68,0,431.8
15,9,66,0,632.3
15,10,67,0,538.5
15,11,69,0,362.0
15,12,55,0,1138.2
15,14,62,0,563.1
15,15,64,0,880.8
15,16,72,0,704.6
15,17,69,0,350.7
15,18,56,0,439.1
15,20,71,0,538.7
15,21,69,0,480.4
15,22,64,0,649.3
15,23,59,0,480.7
15,24,67,0,636.5
16,1,59,0,1037.9
16,3,77,0,341.7
16,4,61,0,653.9
16,6,73,0,993.8
16,7,60,0,919.5
16,8,69,0,397.7
16,10,64,0,958.5
16,11,62,7,3179.9
16,12,67,25,3186.0
16,13,72,52,3438.4
16,14,56,36,3302.1
16,15,66,1,3047.9
16,16,64,23,3207.3
16,18,68,15,3197.4
16,19,70,14,3099.5
17,1,65,63,3431.2
17,2,68,12,3144.6
17,3,67,48,3318.6
17,5,41,25,3294.6
17,6,52,13,3253.5
17,7,48,19,3261.4
17,8,42,0,2990.4
17,9,40,20,3298.9
17,11,5,1,3241.3
17,12,3,0,1570.0
17,13,63,22,3272.0
17,14,61,17,3265.4
17,15,68,64,3416.8
17,17,51,28,3291.9
17,18,63,25,3194.4
17,19,75,25,3231.9
17,20,71,62,3419.5
17,24,67,63,3427.3
17,25,67,0,1268.1
18,3,49,10,3083.4
18,6,66,4,2975.2
18,9,68,1,2880.8
18,11,75,9,2965.7
18,16,57,0,2663.7
18,19,63,0,2839.3
18,24,72,0,2205.7
18,25,65,0,667.0
19,19,50,2,3034.3
19,22,62,9,3123.3
19,24,55,14,3186.7
19,25,63,0,2563.4
20,5,37,0,1934.2
20,9,69,0,319.1
20,11,57,8,2485.4
20,14,75,0,2035.6
21,1,67,47,3331.3
21,2,63,2,2916.7
21,4,66,0,1699.1
21,6,68,9,2731.5
21,8,50,6,3064.5
21,10,61,0,486.1
21,16,63,0,1388.4
21,19,57,1,2780.3
21,24,55,0,2751.5
22,1,49,0,1395.9
22,3,47,0,1622.2
22,6,55,0,1166.8
22,8,48,0,2218.3
22,9,62,0,2595.7
22,11,58,0,2610.2
22,14,62,0,1104.7
22,16,54,1,2937.0
22,17,58,0,1926.0
22,19,70,56,3265.9
22,22,71,0,2784.0
22,24,53,21,3196.3
22,25,69,13,3169.5
23,1,60,5,2612.8
23,3,57,1,3139.8
23,4,53,0,2897.0
23,5,58,1,2690.9
23,6,54,0,2869.8
23,7,69,0,2948.3
23,9,53,0,2646.1
23,10,57,0,1934.0
23,11,47,0,2075.1
23,12,43,0,2713.1
23,13,63,13,3037.1
23,14,60,0,2618.7
23,15,63,0,2818.0
23,16,54,0,308.4
23,17,63,0,359.8
23,18,56,0,356.6
23,19,62,0,317.1
23,20,61,0,308.4
23,21,74,0,308.4
23,22,47,0,331.3
23,23,53,0,308.4
24,1,75,8,3184.1
24,2,74,7,3170.1
24,4,67,8,3090.1
24,5,71,5,3152.7
24,6,53,5,2900.3
24,7,62,9,3178.3
24,10,70,0,2810.6
24,11,72,1,3140.0
24,12,50,4,3156.5
24,13,59,0,3023.8
24,14,62,5,3148.4
24,15,46,0,2807.1
24,16,69,4,2661.5
24,17,71,3,3091.1
24,18,70,18,3081.4
24,19,66,3,3117.7
24,20,61,0,2756.0
24,21,58,0,2600.0
24,22,61,2,3013.8
24,23,49,0,2744.2
24,24,69,0,2508.5
25,1,72,72,3544.2
25,2,48,48,3623.7
25,3,84,84,3468.2
25,4,59,56,3424.1
25,5,68,65,3449.8
25,6,68,61,3412.6
25,7,67,62,3466.9
25,8,56,56,3534.9
25,9,66,54,3397.7
25,10,71,71,3468.2
25,11,69,69,3444.8
25,12,56,37,3213.7
25,13,56,54,3451.2
25,14,80,80,3456.5
25,15,70,58,3366.7
25,16,62,61,3512.1
25,17,65,48,3376.1
25,18,59,44,3341.0
25,19,74,69,3438.3
25,20,63,62,3487.3
25,21,71,51,3351.4
25,22,61,54,3395.2
25,23,82,80,3503.6
25,24,52,44,3397.8
25,25,55,48,3391.3
