run_id,wafer_no,total_dies,risk_dies,avg_ppm
1,1,94,7,587
1,2,109,8,788
1,4,97,9,668
1,5,92,9,678
1,6,109,13,750
1,7,93,2,640
1,8,119,3,503
1,10,102,5,518
1,11,96,4,539
1,12,94,1,577
1,13,102,1,552
1,14,88,6,577
1,16,102,9,622
1,17,115,2,745
1,18,109,1,616
1,19,97,7,636
1,20,91,7,667
1,22,99,7,596
1,23,101,8,587
1,24,106,4,588
1,25,108,3,649
2,1,104,2,3003
2,2,119,1,2976
2,3,113,38,3097
2,4,104,2,3057
2,5,110,42,3188
2,7,107,0,1862
2,8,86,6,2729
2,9,102,0,1584
2,10,109,0,1427
2,11,129,0,1658
2,13,108,0,2596
2,14,105,5,2719
2,15,103,0,2658
2,16,98,0,2310
2,17,115,4,3103
2,19,105,0,1695
2,20,94,0,2813
2,21,112,0,1414
2,22,108,0,3044
2,23,111,0,2886
3,2,90,1,2833
3,3,93,0,1252
3,4,99,0,2734
3,6,107,0,2104
3,8,109,0,2063
3,9,114,0,1989
3,10,115,0,2949
3,11,100,0,2716
3,12,112,0,2813
3,14,93,0,2491
3,15,96,0,2366
3,16,83,0,2316
3,17,86,0,2389
3,18,86,7,3062
3,20,112,0,2825
3,21,115,0,2711
3,22,93,0,2195
3,23,99,0,2352
3,24,107,0,2772
4,5,109,20,3046
4,10,95,84,3405
4,12,104,62,3236
4,13,110,50,3248
4,14,126,109,3404
4,15,115,98,3379
4,16,100,62,3319
4,17,120,69,3190
4,18,119,97,3372
4,19,116,36,3137
4,20,109,50,3164
4,21,114,46,3190
4,22,97,27,3149
4,23,101,57,3272
4,25,97,53,3200
5,2,105,57,3296
5,3,123,99,3336
5,4,109,87,3324
5,5,120,110,3373
5,7,107,46,3244
5,8,107,74,3178
5,9,116,91,3340
5,10,115,95,3372
5,11,108,72,3302
5,14,123,81,3313
5,15,104,53,3304
5,16,114,27,3229
5,19,108,66,3305
5,20,110,2,3058
5,21,111,72,3241
5,22,103,13,3104
5,23,102,1,2963
5,25,109,94,3368
6,6,108,68,3184
6,7,106,32,3172
6,10,113,93,3316
6,11,107,90,3340
6,12,116,27,3139
6,13,107,87,3383
6,17,107,86,3370
6,18,114,107,3421
6,19,123,66,3144
6,20,87,51,3231
6,21,119,96,3338
6,22,105,20,3026
7,1,88,58,3308
7,3,115,67,3284
7,4,108,1,2989
7,5,102,58,3274
7,10,115,75,3306
7,11,125,31,3204
7,16,78,4,3055
7,17,87,2,2989
7,21,121,48,3236
7,22,118,4,2843
7,23,98,74,3343
7,24,100,35,3198
8,1,84,0,2675
8,2,124,121,3456
8,3,105,99,3464
8,4,114,108,3446
8,5,104,98,3432
8,6,108,100,3431
8,8,100,96,3469
8,9,98,92,3457
8,10,116,115,3460
8,11,99,98,3453
8,12,96,74,3381
8,13,117,104,3444
8,14,107,104,3454
8,15,113,104,3408
8,16,91,82,3391
8,17,97,76,3400
8,18,95,88,3424
8,19,93,70,3368
8,20,102,93,3405
8,21,81,47,3281
8,23,91,87,3428
8,25,106,84,3383
9,2,112,6,3109
9,3,107,9,3020
9,4,107,10,2941
9,5,104,0,1623
9,6,113,12,2940
9,9,100,0,2338
9,11,118,30,3212
9,12,108,3,3120
9,14,111,0,2988
9,15,97,1,2946
9,21,121,0,2932
9,22,95,0,2908
9,24,118,28,3151
10,1,107,0,2219
10,2,105,0,2670
10,3,106,0,2125
10,4,108,0,2625
10,5,108,1,3113
10,6,108,0,1124
10,7,79,0,1595
10,8,98,4,3118
10,9,118,0,2809
10,10,100,0,1258
10,11,103,0,2594
10,13,100,44,3209
10,14,102,0,2000
10,16,124,5,3116
10,17,95,0,1735
10,18,108,7,3058
10,19,116,0,1565
10,20,103,0,2752
10,21,106,0,3019
10,23,94,0,599
10,24,115,0,1620
10,25,121,1,2855
11,3,89,0,1395
11,4,81,0,917
11,5,80,0,1303
11,6,48,0,1438
11,7,35,0,2196
11,9,37,0,1920
11,10,48,0,1451
11,11,54,0,1223
11,12,30,6,3123
11,13,35,1,2945
11,15,25,7,3166
11,16,16,1,2908
11,17,13,1,2972
11,18,19,2,3205
11,19,15,2,3141
11,21,27,2,3050
11,22,25,0,3054
11,24,20,0,2469
12,10,92,17,3180
12,12,97,62,3339
12,14,110,2,2961
12,17,108,0,2929
12,18,128,19,3202
12,19,101,0,2284
12,20,74,0,2943
12,21,98,0,2279
12,22,96,0,2094
12,23,95,0,1807
12,24,73,0,1772
12,25,97,0,3087
13,2,112,74,3302
13,4,110,74,3307
13,5,127,56,3265
13,6,112,31,3257
13,8,109,90,3340
13,10,108,81,3367
13,11,112,24,3189
13,15,88,0,1519
13,16,103,0,1948
13,17,111,5,2697
13,18,104,11,2950
13,20,114,5,2569
13,21,111,0,2468
14,1,103,79,3354
14,2,117,102,3381
14,4,110,6,3144
14,5,111,92,3385
14,6,111,45,3203
14,7,117,72,3291
14,8,102,45,3274
14,10,108,48,3238
14,12,111,5,3066
14,13,119,75,3315
14,14,97,34,3259
14,16,95,10,3055
14,17,96,17,3245
14,18,116,0,711
14,19,121,0,702
14,20,99,0,988
14,22,116,0,941
14,23,113,0,554
14,24,120,0,431
14,25,115,0,1056
15,2,117,0,629
15,3,120,0,861
15,4,113,0,708
15,6,110,0,570
15,8,106,0,400
15,9,112,0,631
15,10,105,0,491
15,11,113,0,393
15,12,101,0,1193
15,14,107,0,558
15,15,107,0,902
15,16,113,0,696
15,17,108,0,378
15,18,101,0,467
15,20,119,0,486
15,21,114,0,471
15,22,111,0,546
15,23,105,0,458
15,24,101,0,594
16,1,93,0,1020
16,3,115,0,338
16,4,103,0,698
16,6,109,0,1032
16,7,108,0,935
16,8,112,0,363
16,10,108,0,1005
16,11,108,7,3142
16,12,115,40,3185
16,13,116,91,3413
16,14,98,67,3283
16,15,112,1,3049
16,16,108,45,3186
16,18,104,18,3205
16,19,118,14,3072
17,1,118,115,3435
17,2,110,12,3129
17,3,107,73,3298
17,5,84,60,3294
17,6,99,20,3254
17,7,80,39,3268
17,8,65,0,2994
17,9,77,40,3283
17,11,7,1,3225
17,12,4,0,1865
17,13,110,31,3265
17,14,98,24,3255
17,15,106,100,3420
17,17,79,46,3295
17,18,106,45,3197
17,19,108,32,3210
17,20,117,104,3414
17,24,113,109,3434
17,25,106,0,1285
18,3,83,10,3048
18,6,107,4,3000
18,9,106,1,2925
18,11,109,9,2983
18,16,109,0,2764
18,19,116,0,2869
18,24,114,0,2217
18,25,103,0,633
19,19,95,2,3029
19,22,95,10,3103
19,24,84,20,3169
19,25,87,0,2579
20,5,77,0,1838
20,9,117,0,321
20,11,103,8,2568
20,14,118,0,2012
21,1,91,71,3352
21,2,102,2,2986
21,4,106,0,1720
21,6,108,9,2825
21,8,87,6,3059
21,10,104,0,479
21,16,104,0,1421
21,19,109,1,2757
21,24,97,0,2822
22,1,90,0,1448
22,3,83,0,1610
22,6,101,0,1166
22,8,77,0,2261
22,9,97,0,2589
22,11,93,0,2641
22,14,99,0,1135
22,16,86,1,2908
22,17,90,0,1962
22,19,98,80,3258
22,22,108,0,2832
22,24,87,32,3164
22,25,107,13,3176
23,1,93,5,2617
23,3,90,1,3148
23,4,95,0,2859
23,5,99,1,2754
23,6,95,0,2873
23,7,121,0,2936
23,9,91,0,2607
23,10,82,0,1962
23,11,84,0,1993
23,12,86,0,2708
23,13,103,15,3046
23,14,88,0,2614
23,15,110,0,2812
23,16,94,0,308
23,17,104,0,340
23,18,87,0,348
23,19,111,0,313
23,20,90,0,332
23,21,116,0,308
23,22,90,0,320
23,23,88,0,308
24,1,124,8,3189
24,2,106,8,3177
24,4,110,13,3113
24,5,107,6,3157
24,6,96,7,2930
24,7,109,14,3161
24,10,112,0,2796
24,11,110,1,3145
24,12,82,7,3167
24,13,105,0,3035
24,14,102,6,3175
24,15,71,0,2772
24,16,100,4,2553
24,17,110,3,3109
24,18,109,19,3111
24,19,110,3,3129
24,20,109,0,2762
24,21,99,0,2632
24,22,104,2,2999
24,23,82,0,2760
24,24,110,0,2515
25,1,110,110,3524
25,2,93,93,3581
25,3,116,116,3466
25,4,97,94,3433
25,5,101,98,3455
25,6,112,94,3402
25,7,109,101,3461
25,8,100,100,3512
25,9,111,94,3401
25,10,116,116,3466
25,11,118,118,3450
25,12,96,59,3254
25,13,104,102,3461
25,14,126,126,3460
25,15,119,102,3361
25,16,100,99,3498
25,17,114,87,3382
25,18,95,74,3347
25,19,115,108,3435
25,20,98,97,3481
25,21,105,71,3351
25,22,112,102,3400
25,23,127,124,3509
25,24,100,91,3413
25,25,106,93,3407
26,1,101,0,2865
26,3,106,1,2919
26,8,118,0,1858
26,9,118,0,407
26,11,100,0,337
26,14,93,0,418
26,16,89,0,455
26,17,118,0,456
26,24,106,0,2384
26,25,84,0,2493
27,1,111,0,315
27,3,112,0,313
27,8,117,25,2645
27,9,129,0,2814
27,11,100,2,2587
27,14,112,6,2893
27,17,103,1,2619
28,2,104,0,2059
28,3,124,0,1736
28,4,109,0,1241
