ufs_serial,month,X1064,X592,X1066,X1071,X1068,X727,X1063,X1060,X1003,X995,X1070,X594,X1002,X718,X726
S00326,2025-11,14.142074399999998,-0.1102234,3.9150328,15.9988213,4.0240632000000005,,23.4537104,24.3126785,283.765,1777.75,79.98924199999998,,2051.5,1088.0,1012.5
S00327,2025-11,25.0356185,1.6343038,11.27011,13.402083,4.0951294,32.1175,20.0584914,27.9488092,285.05,1771.5,62.1749514,1850.25,2072.75,1010.75,1012.75
S00328,2025-11,14.142074399999998,-0.1102234,3.9150328,15.9988213,4.0240632000000005,,23.4537104,24.3126785,285.7225,1700.75,79.98924199999998,,2174.5,1042.25,1032.0
S00329,2025-11,14.142074399999998,-0.1102234,3.9150328,15.9988213,4.0240632000000005,,23.4537104,24.3126785,286.46500000000003,1685.25,79.98924199999998,,2160.0,1057.5,1062.5
S00331,2025-11,11.8707851,2.0230066000000004,4.5097356,13.5573094,2.5776937,28.245,21.7004056,20.7436065,288.35,1759.5,84.1358848,1705.5,2047.25,994.0,1025.25
S00332,2025-11,11.8696773,1.8520357,5.688823200000001,8.6821007,3.2528212,32.4075,31.4081134,17.385662,283.4,1684.0,79.7792059,1537.0,2188.0,1060.75,989.75
S00334,2025-11,12.690254800000002,0.2887013,6.1214352,15.5062954,2.9642784,,25.1090291,24.8518173,287.5225,1754.25,79.84027739999998,,2116.25,1016.0,1039.75
S00335,2025-11,12.690254800000002,0.2887013,6.1214352,15.5062954,2.9642784,,25.1090291,24.8518173,289.0725,1765.5,79.84027739999998,,2024.75,1051.75,1059.0
S00336,2025-11,12.690254800000002,0.2887013,6.1214352,15.5062954,2.9642784,,25.1090291,24.8518173,282.94,1664.25,79.84027739999998,,2219.0,1127.0,1059.5
S00339,2025-11,24.611010600000004,-0.5405426999999999,12.808996,6.369177099999999,4.2506262,31.15,22.0676354,23.6387572,287.8,1777.0,68.0854416,1928.5,2042.75,1062.75,1018.5
S00340,2025-11,11.8707851,2.0230066000000004,4.5097356,13.5573094,2.5776937,27.97,21.7004056,20.7436065,288.65,1744.0,84.1358848,1385.5,2132.5,998.0,1033.5
S00341,2025-11,24.5691155,1.63926,9.128818699999998,14.1693974,2.5272142000000004,30.2875,25.0670011,24.6918153,288.35,1786.75,70.60395179999998,1866.0,2025.25,984.5,1006.25
S00342,2025-11,25.2878629,1.4760234,4.1823899,10.803751,2.3930612,,19.6576518,22.7753611,288.165,1774.75,77.3918733,,2048.75,973.25,951.75
S00343,2025-11,8.2498532,0.8996713,5.0188120000000005,4.324641400000001,4.5661879,,21.2014902,14.7906799,287.6675,1743.25,84.96768440000001,,2095.5,964.75,978.75
S00344,2025-11,19.3965965,-0.1082963,4.880879999999999,10.9321736,3.7229837,,22.2661376,24.8826631,288.2675,1778.5,75.41040190000001,,2235.25,1026.25,1074.0
S00347,2025-11,9.773559,-0.6181580999999999,4.144447899999999,5.8066733,4.1682298,,22.263658,16.154700199999997,289.16,1757.5,86.2605344,,2132.5,952.75,1014.0
S00349,2025-11,8.2498532,0.8996713,5.0188120000000005,4.324641400000001,4.5661879,,21.2014902,14.7906799,289.5475,1751.5,84.96768440000001,,2001.75,985.0,986.5
S00350,2025-11,12.690254800000002,0.2887013,6.1214352,15.5062954,2.9642784,,25.1090291,24.8518173,286.6525,1773.5,79.84027739999998,,2073.75,1130.5,1058.5
S00351,2025-10,19.7578832,1.4512174,10.2069798,11.127112,3.9221731,33.44,17.7355813,22.584078,287.04999999999995,1766.25,69.48929129999999,1248.0,2097.5,1103.25,1014.5
S00352,2025-10,18.6229519,1.1451537,9.026503,14.3634032,4.2251044,36.3,29.1652985,23.5445632,284.45,1777.75,69.6979121,1260.0,2114.25,1060.25,1014.75
S00354,2025-10,9.404786,0.7927071,4.6821735,9.3494971,5.415555,26.345,20.824851100000004,13.950443900000002,283.95,1759.5,82.70195759999999,1090.0,2018.0,1048.0,1029.25
S00356,2025-10,12.5772345,-0.1285587,1.3474739,12.8680647,2.1617236,28.0,26.3636169,25.6815709,290.85,1757.5,83.7537598,1444.0,2091.75,983.75,984.75
S00357,2025-10,10.3591255,-2.2765048,4.0424597,10.1019833,3.6494188,27.8075,20.0720396,19.3255191,286.65,1740.5,80.3522155,1663.75,2268.5,947.25,1056.0
S00358,2025-10,8.2585939,-1.7063171999999998,7.1765463,6.0845883,2.7739285,27.8975,22.7242092,14.968481699999998,280.1,1788.5,84.7942303,1551.0,2155.5,1050.5,1010.5
S00360,2025-10,9.3075654,-1.0845512,2.1580145,4.7811621,1.8606923,24.0625,24.9231214,16.9897168,286.55,1776.5,87.82220749999998,1233.0,1941.5,1042.5,1075.75
S00361,2025-10,12.3183515,2.6257049,9.3265505,12.4608813,4.5380192,25.745,12.6922692,18.397662300000004,285.9,1773.75,70.7847304,1551.5,2187.0,1006.25,1085.25
S00362,2025-10,9.8898523,0.3819701,3.6171813,4.554752199999999,2.8516159,27.7775,27.4334024,17.577898299999998,281.55,1782.5,88.35184220000001,1459.0,2191.5,1031.75,1071.25
