die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
18,27,653,0.00245603,0.00381365,0.00093628,199,30.47,2456.0,3813.6,21.708
18,28,337,0.00241976,0.00362614,0.00059854,77,22.85,2419.8,3626.1,21.983
19,15,598,0.00250381,0.00374776,0.00063892,115,19.23,2503.8,3747.8,21.03
19,16,639,0.00253266,0.00385652,0.0008646,231,36.15,2532.7,3856.5,20.742
19,17,739,0.00249741,0.00385652,0.00088578,249,33.69,2497.4,3856.5,20.5
19,18,745,0.00259066,0.00383715,0.00097651,290,38.93,2590.7,3837.2,20.304
19,19,599,0.00256406,0.0040305,0.00101635,234,39.07,2564.1,4030.5,20.156
19,20,645,0.0025988,0.00389772,0.00086865,201,31.16,2598.8,3897.7,20.056
19,21,693,0.00256538,0.00414354,0.00099503,275,39.68,2565.4,4143.5,20.006
19,22,649,0.0024177,0.00373489,0.00108222,237,36.52,2417.7,3734.9,20.006
19,23,516,0.00237584,0.00387608,0.00104923,178,34.5,2375.8,3876.1,20.056
19,24,746,0.0024174,0.0038845,0.00104627,292,39.14,2417.4,3884.5,20.156
19,25,559,0.00248193,0.00367065,0.00091254,166,29.7,2481.9,3670.6,20.304
19,26,601,0.0026085,0.00371666,0.00087193,208,34.61,2608.5,3716.7,20.5
19,27,700,0.00249789,0.00393226,0.00091867,217,31.0,2497.9,3932.3,20.742
19,28,534,0.00247094,0.0038382,0.0005763,105,19.66,2470.9,3838.2,21.03
20,14,252,0.00215573,0.00374776,0.00089815,28,11.11,2155.7,3747.8,20.427
20,15,655,0.00248311,0.00372007,0.00099142,217,33.13,2483.1,3720.1,20.081
20,16,618,0.00252704,0.00380936,0.00086773,184,29.77,2527.0,3809.4,19.78
20,17,544,0.00258424,0.00379584,0.00077174,207,38.05,2584.2,3795.8,19.526
20,18,652,0.00254061,0.00391234,0.00105802,273,41.87,2540.6,3912.3,19.32
20,19,603,0.00249169,0.00388403,0.00109075,256,42.45,2491.7,3884.0,19.164
20,20,534,0.00258674,0.00389772,0.00095817,203,38.01,2586.7,3897.7,19.059
20,21,707,0.00248312,0.00414354,0.00103461,297,42.01,2483.1,4143.5,19.007
20,22,732,0.00239087,0.00371764,0.00093466,125,17.08,2390.9,3717.6,19.007
20,23,585,0.00247303,0.00387608,0.00098164,189,32.31,2473.0,3876.1,19.059
20,24,657,0.00227235,0.00406296,0.00105379,172,26.18,2272.4,4063.0,19.164
20,25,498,0.0025197,0.00387126,0.00089225,180,36.14,2519.7,3871.3,19.32
20,26,645,0.00268939,0.00439244,0.00088687,256,39.69,2689.4,4392.4,19.526
20,27,646,0.00260741,0.00381365,0.0008475,214,33.13,2607.4,3813.6,19.78
20,28,558,0.00253985,0.00377237,0.00073943,164,29.39,2539.9,3772.4,20.081
20,29,313,0.00253595,0.00355586,0.00064575,72,23.0,2536.0,3555.9,20.427
21,14,592,0.00233223,0.00362237,0.00073654,98,16.55,2332.2,3622.4,19.5
21,15,622,0.00256143,0.00376742,0.00082278,146,23.47,2561.4,3767.4,19.138
21,16,752,0.00267831,0.00383894,0.00083893,327,43.48,2678.3,3838.9,18.822
21,17,719,0.00252261,0.00385652,0.00091719,249,34.63,2522.6,3856.5,18.554
21,18,662,0.00274144,0.00391234,0.00088242,297,44.86,2741.4,3912.3,18.337
21,19,688,0.00255791,0.0040305,0.0011072,323,46.95,2557.9,4030.5,18.173
21,20,627,0.00255991,0.00408107,0.00101797,219,34.93,2559.9,4081.1,18.062
21,21,682,0.00240153,0.00414354,0.00107749,209,30.65,2401.5,4143.5,18.007
21,22,720,0.00227862,0.00368074,0.00109573,218,30.28,2278.6,3680.7,18.007
21,23,548,0.00244954,0.00387608,0.00107568,233,42.52,2449.5,3876.1,18.062
21,24,642,0.00241784,0.00406296,0.00110865,275,42.83,2417.8,4063.0,18.173
21,25,588,0.00243147,0.00374264,0.00096944,194,32.99,2431.5,3742.6,18.337
21,26,756,0.00259529,0.00371666,0.00090535,294,38.89,2595.3,3716.7,18.554
21,27,620,0.00250027,0.00393226,0.00093859,202,32.58,2500.3,3932.3,18.822
21,28,458,0.00250365,0.00369706,0.0007796,107,23.36,2503.6,3697.1,19.138
21,29,636,0.00247425,0.00378605,0.00055656,132,20.75,2474.2,3786.0,19.5
22,13,3,0.0021319,0.00244305,0.00045069,0,0.0,2131.9,2443.0,19.007
22,14,547,0.00235267,0.00351864,0.00071983,81,14.81,2352.7,3518.6,18.581
22,15,462,0.00231754,0.00369057,0.00106304,134,29.0,2317.5,3690.6,18.2
22,16,639,0.00272282,0.00383894,0.00086987,279,43.66,2722.8,3838.9,17.868
22,17,669,0.00244876,0.00381766,0.00090588,203,30.34,2448.8,3817.7,17.586
22,18,629,0.00264671,0.00391234,0.00099035,292,46.42,2646.7,3912.3,17.357
22,19,516,0.00245153,0.00379648,0.0012018,237,45.93,2451.5,3796.5,17.183
22,20,532,0.00259196,0.00408107,0.00099353,201,37.78,2592.0,4081.1,17.066
22,21,681,0.00239265,0.00405789,0.00098315,216,31.72,2392.6,4057.9,17.007
22,22,668,0.002346,0.00371101,0.00098514,167,25.0,2346.0,3711.0,17.007
22,23,640,0.00241527,0.00390932,0.00103185,245,38.28,2415.3,3909.3,17.066
22,24,685,0.00257345,0.00406296,0.00090325,252,36.79,2573.5,4063.0,17.183
22,25,590,0.00247736,0.00387126,0.00092831,181,30.68,2477.4,3871.3,17.357
22,26,855,0.00252301,0.00439244,0.00094269,292,34.15,2523.0,4392.4,17.586
22,27,634,0.00257681,0.00381365,0.00079512,174,27.44,2576.8,3813.6,17.868
22,28,562,0.00247269,0.00377237,0.00078134,136,24.2,2472.7,3772.4,18.2
22,29,641,0.00254118,0.0038382,0.00054097,130,20.28,2541.2,3838.2,18.581
22,30,23,0.00191562,0.00314041,0.00045087,1,4.35,1915.6,3140.4,19.007
23,13,365,0.00245014,0.0034865,0.00057119,68,18.63,2450.1,3486.5,18.118
23,14,643,0.00253446,0.00374063,0.00072973,157,24.42,2534.5,3740.6,17.671
23,15,654,0.00244908,0.00376742,0.00086088,131,20.03,2449.1,3767.4,17.27
23,16,657,0.00269447,0.00393539,0.00084356,287,43.68,2694.5,3935.4,16.919
23,17,708,0.00264301,0.00395332,0.00083214,254,35.88,2643.0,3953.3,16.621
23,18,712,0.00269367,0.0039192,0.00091804,304,42.7,2693.7,3919.2,16.378
23,19,666,0.00261223,0.00382799,0.00107214,297,44.59,2612.2,3828.0,16.194
23,20,591,0.00252402,0.00408107,0.0010844,220,37.23,2524.0,4081.1,16.07
23,21,696,0.00244201,0.00437234,0.00106192,232,33.33,2442.0,4372.3,16.008
23,22,658,0.00226122,0.00378933,0.00116564,223,33.89,2261.2,3789.3,16.008
23,23,595,0.0024996,0.00390932,0.00107349,262,44.03,2499.6,3909.3,16.07
23,24,626,0.00253503,0.00406296,0.00094908,256,40.89,2535.0,4063.0,16.194
23,25,726,0.00242449,0.00376027,0.00087572,196,27.0,2424.5,3760.3,16.378
23,26,792,0.00242521,0.00439244,0.00100799,270,34.09,2425.2,4392.4,16.621
23,27,576,0.00236501,0.00404801,0.00091409,133,23.09,2365.0,4048.0,16.919
23,28,625,0.00249817,0.00382659,0.00084338,202,32.32,2498.2,3826.6,17.27
23,29,485,0.00261894,0.00363296,0.00068925,106,21.86,2618.9,3633.0,17.671
23,30,436,0.00234582,0.00361342,0.0005721,55,12.61,2345.8,3613.4,18.118
24,13,554,0.00248082,0.00351354,0.00056625,83,14.98,2480.8,3513.5,17.241
24,14,670,0.00228137,0.00372007,0.00101221,138,20.6,2281.4,3720.1,16.771
24,15,567,0.00243875,0.0038517,0.00099262,193,34.04,2438.8,3851.7,16.348
24,16,654,0.00255622,0.00375828,0.0009406,236,36.09,2556.2,3758.3,15.977
24,17,767,0.00234836,0.00395332,0.0010257,230,29.99,2348.4,3953.3,15.66
24,18,650,0.00279245,0.0039192,0.00085209,338,52.0,2792.5,3919.2,15.403
24,19,566,0.00257235,0.00379648,0.00106487,227,40.11,2572.4,3796.5,15.207
24,20,494,0.00274184,0.00408107,0.00086289,215,43.52,2741.8,4081.1,15.075
24,21,644,0.00237177,0.00437234,0.00100947,242,37.58,2371.8,4372.3,15.008
24,22,813,0.00247759,0.00380456,0.00098455,257,31.61,2477.6,3804.6,15.008
24,23,628,0.00237733,0.00390932,0.0010265,214,34.08,2377.3,3909.3,15.075
24,24,784,0.00263301,0.00375875,0.00090519,306,39.03,2633.0,3758.8,15.207
24,25,676,0.00243669,0.0037218,0.00099323,203,30.03,2436.7,3721.8,15.403
