health,reg_pred,clf_proba,split
0.0090049935135056,0.003886348168769975,0.3529894840359998,train
0.0047028766086298,0.00355031899832575,0.41541514308260974,train
0.0093038569877482,0.0036423267339215247,0.4744550902709883,train
0.0018947625256383,0.0035539858213407497,0.43550642080436486,train
0.0108105756577158,0.00302766211559985,0.370091426572972,train
0.0012615590026322,0.0045514395769187,0.4742682988946056,train
0.0070161321630368,0.003681295058632225,0.4449212711189001,train
0.004356439115038,0.001576751276584,0.19007820033276826,train
0.0037301390733944,0.004926100484096,0.6238275498255496,train
0.0032207371405427,0.003276651642523025,0.3815052423928593,train
0.0159625826784298,0.00351783135726725,0.4129097124497257,train
0.0027918681923636,0.002837009428697575,0.3366771415201416,train
0.0042819726367301,0.00299798637800405,0.3417001649328139,train
0.0023812946193282,0.0036740051677938,0.44267362512561587,train
0.0031570288356788,0.0036486478277801,0.4217807869793938,train
0.0252018752391886,0.0032855706726866,0.3530406956083277,train
0.00464017627068,0.0034304183083376,0.4126275566928814,train
0.0060474978021543,0.0030319452365844502,0.32886757651630644,train
0.0023936464820139,0.002998342221199625,0.37291653890582727,train
0.008874683047034,0.00262689308659315,0.3039984332514173,train
0.007932707654983,0.00328027255331865,0.38062020065326924,train
0.0075619256283853,0.003226068099215025,0.36910400575621244,train
0.0071116834800028,0.004028692967108375,0.4717499255866451,train
0.0053734957995913,0.00222830123242195,0.24978842505687904,train
0.0023849627379564,0.0034691732001338998,0.40310578519069074,train
0.0013414848104511,0.00121418926049135,0.13542439169112497,train
0.0025810204118726,0.00352855160526875,0.4081556551922002,train
0.0072623392184583,0.003540773017835775,0.40696378808413913,train
0.0090860181354728,0.00430815349365835,0.4982184309240345,train
0.0017475386779184,0.0028175441691323747,0.31677284208271506,train
0.0014720168704388,0.00307880791991535,0.4168506922151367,train
0.0105270404083729,0.0015849691754617249,0.19453851553503962,train
0.0081781852374236,0.00290088106312885,0.3296528193327948,train
0.0310527960012496,0.0033169178853238,0.4316991078562924,train
0.0021232783075293,0.003677444585904775,0.4798406691068583,train
0.0284323587320807,0.002909737971397625,0.3470965106598193,train
0.0160521160855445,0.0018881140490829749,0.21907732883578135,train
0.0038223712545376,0.0045155695791823,0.49698433233669587,train
0.0039413945558,0.002904153003025725,0.35033833862332,train
0.0024714932891746,0.003351682081406975,0.4180451726807313,train
0.0011100390412121,0.00343095624930115,0.40419558219403134,train
0.002978063000713,0.0041979051594009005,0.491907890675751,train
0.0047072863488695,0.0039871005271902,0.4185765888622258,train
0.0019734203703041,0.0034622950441031,0.3839513865819568,train
0.0126670192362832,0.0027036344489643,0.31288817326268764,train
0.0016278856484029,0.00344959296758445,0.42445617254769996,train
0.0020854313528029,0.0034610297448316,0.4125005327147342,train
0.0062801688190249,0.003403940841469,0.4407648405843343,train
0.0129798903107861,0.003160580110067175,0.35456906249278575,train
0.0043275342632742,0.004071822715078825,0.4433772386233195,train
0.0123244470117336,0.0042553489560557,0.5345572509797416,train
0.0109692199714844,0.0037600678114687253,0.46925359929758864,train
0.0061894443199083,0.003323770897902,0.39586737263844324,train
0.0061811884174229,0.004180903333242175,0.43511747920823163,train
0.0116357336423709,0.003489568625605675,0.37350538248722626,train
0.0124880647268706,0.003747373992252025,0.43669813494517495,train
0.0048258518065386,0.00276905822451485,0.3217638199965934,train
0.0048069483132157,0.003125825200331675,0.33750172568541337,train
0.0078205983072417,0.003792261551049625,0.44400128819397194,train
0.0091693879638994,0.00374965147928675,0.4404953959155,train
0.0024002704530087,0.003739344793304225,0.4283107168827195,train
0.0025206802286363,0.003429774140790125,0.346324443867982,train
0.0074635971309452,0.003837241464987975,0.440859140443058,train
0.0143127641345745,0.0037454863510875997,0.4512171276312279,train
0.0083429256594724,0.00367162088432705,0.4456664058269544,train
0.0124662164280652,0.003480855977163575,0.38136926079535166,train
0.0073314648178197,0.0034184825857911253,0.4157574245602644,train
0.0056570485458994,0.0040444890764798,0.4917263743453151,train
0.0054252903676534,0.002776469033187425,0.34789550832995486,train
0.0064611504525033,0.004384840483382675,0.48230870624612054,train
0.0249432661255127,0.00351670976532115,0.43057381640332754,train
0.0159388870359442,0.0032093959711294497,0.3639115893469156,train
0.0046313768794584,0.003472956867450375,0.4230081417030185,train
0.0116419963670668,0.003422186304137825,0.45208665922682434,train
0.0049439945884646,0.003901184437134225,0.42250136567864394,train
0.0132824484603584,0.002864518248155925,0.3557405083008013,train
0.0025697105068585,0.004021882949848675,0.47286967319809303,train
0.0019134298133154,0.0035482447627086253,0.4123131589744399,train
0.0079510585946623,0.00399841674240505,0.48906066027779904,train
0.0049334921580305,0.003873480972885,0.4876574295095176,train
0.0071268785132499,0.0030287484909421,0.36788439326531835,train
0.0137264852809683,0.0022714740481481997,0.2798556686008208,train
0.0016321678275747,0.003433880425662075,0.4074683891355559,train
0.0014031937480236,0.00369187731643,0.4200642543953157,train
0.0029940660863279,0.00356784061739695,0.39173563004278744,train
0.005496389193015,0.0031702428720047,0.37556158234716835,train
0.016209668025626,0.003844171980331775,0.47090695930040316,train
0.0025354167623187,0.0030411262777555,0.36447090816671107,train
0.0032246239290452,0.001553459375326025,0.17212242759095348,train
0.0036396657659043,0.0034976603653154,0.4170088580651855,train
0.0278148978114028,0.00317296670526935,0.37209810097904633,train
0.01242729128183,0.0039742792923536,0.4547337332828955,train
0.0021770745724698,0.0027793896007158,0.312071231373327,train
0.0095369677431734,0.0037651297535670003,0.4746348468450126,train
0.0107127075991248,0.003653481302687275,0.47480685592412747,train
0.002882964406701,0.004308188691263575,0.4893823623713578,train
0.0027830975820089,0.002850128848604775,0.3317657113652934,train
0.0130170734502119,0.0036715852364270496,0.4420701815458563,train
0.0092390688059665,0.003071992793020125,0.4086596896394418,train
0.0089847886159964,0.0039007027926665503,0.490949398111866,train
0.022210305224114,0.003715163972922725,0.4291550977081518,train
0.0400376959365752,0.0027929134153977,0.33329791450057633,train
0.0142710289498015,0.0024390566611568,0.3012686929564792,train
0.0221522365126003,0.0021780501236002,0.2792556683500565,train
0.0016465568078663,0.0036356694146544,0.42676976939548444,train
