die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
18,27,653,0.0025278,0.00359028,0.00087117,128,19.6,2527.8,3590.3,21.708
18,28,337,0.00226227,0.00362555,0.00077677,46,13.65,2262.3,3625.6,21.983
19,15,598,0.002573,0.00363974,0.00072,105,17.56,2573.0,3639.7,21.03
19,16,639,0.00264566,0.00362962,0.00085538,156,24.41,2645.7,3629.6,20.742
19,17,739,0.002581,0.00371709,0.00090867,185,25.03,2581.0,3717.1,20.5
19,18,745,0.00263194,0.00368115,0.00097277,259,34.77,2631.9,3681.2,20.304
19,19,599,0.00262795,0.00369625,0.00102536,231,38.56,2628.0,3696.2,20.156
19,20,645,0.00262462,0.00366005,0.00087151,151,23.41,2624.6,3660.0,20.056
19,21,693,0.00259328,0.00363442,0.00098707,209,30.16,2593.3,3634.4,20.006
19,22,649,0.00250661,0.00366104,0.00107058,195,30.05,2506.6,3661.0,20.006
19,23,516,0.00253849,0.00361085,0.00104727,145,28.1,2538.5,3610.8,20.056
19,24,746,0.00254814,0.00364726,0.00101999,199,26.68,2548.1,3647.3,20.156
19,25,559,0.00246676,0.00366341,0.00096324,155,27.73,2466.8,3663.4,20.304
19,26,601,0.00268569,0.00359148,0.00084826,134,22.3,2685.7,3591.5,20.5
19,27,700,0.00256022,0.0035937,0.00088924,131,18.71,2560.2,3593.7,20.742
19,28,534,0.00248317,0.00363487,0.00066909,74,13.86,2483.2,3634.9,21.03
20,14,252,0.0020049,0.00362804,0.00080836,16,6.35,2004.9,3628.0,20.427
20,15,655,0.00253648,0.00362314,0.00097766,149,22.75,2536.5,3623.1,20.081
20,16,618,0.0026082,0.00365437,0.00092086,154,24.92,2608.2,3654.4,19.78
20,17,544,0.00267222,0.00361499,0.00082189,126,23.16,2672.2,3615.0,19.526
20,18,652,0.00264074,0.00369776,0.00104254,253,38.8,2640.7,3697.8,19.32
20,19,603,0.00248646,0.00365071,0.0010617,207,34.33,2486.5,3650.7,19.164
20,20,534,0.002602,0.00369816,0.0009881,189,35.39,2602.0,3698.2,19.059
20,21,707,0.0025675,0.00363117,0.00099892,208,29.42,2567.5,3631.2,19.007
20,22,732,0.00249453,0.00368138,0.00098496,115,15.71,2494.5,3681.4,19.007
20,23,585,0.00257115,0.00358362,0.00100648,151,25.81,2571.2,3583.6,19.059
20,24,657,0.00234346,0.0036576,0.00103999,170,25.88,2343.5,3657.6,19.164
20,25,498,0.00259948,0.00367149,0.00093449,124,24.9,2599.5,3671.5,19.32
20,26,645,0.00279226,0.00365108,0.00088673,215,33.33,2792.3,3651.1,19.526
20,27,646,0.00268562,0.00362423,0.00086084,175,27.09,2685.6,3624.2,19.78
20,28,558,0.00260947,0.00359455,0.00076369,111,19.89,2609.5,3594.6,20.081
20,29,313,0.00246533,0.00361423,0.00084607,70,22.36,2465.3,3614.2,20.427
21,14,592,0.00230545,0.00347061,0.00082204,75,12.67,2305.5,3470.6,19.5
