die_x,die_y,pred_a,pred_b,delta,n_a,n_b
52,25,0.00262157,0.00203432,-0.00058725,162,50
52,26,0.00255592,0.00197213,-0.0005838,161,39
52,27,0.00254501,0.0020509,-0.00049411,158,33
52,28,0.00258529,0.00212568,-0.00045961,159,38
52,29,0.00257108,0.00202886,-0.00054222,157,42
52,30,0.00251156,0.00205535,-0.00045621,157,40
52,31,0.00247769,0.00261375,0.00013606,64,23
53,13,0.0023934,0.00251235,0.00011895,155,34
53,14,0.00256146,0.00193653,-0.00062493,178,39
53,15,0.00254973,0.00199935,-0.00055038,176,47
53,16,0.00256197,0.00216776,-0.00039421,143,41
53,17,0.00256739,0.00186723,-0.00070016,150,41
53,18,0.00255446,0.00183875,-0.00071571,173,46
53,19,0.00254013,0.00199244,-0.00054768,162,43
53,20,0.00256123,0.00203887,-0.00052236,155,32
53,21,0.00261048,0.00199258,-0.0006179,162,43
53,22,0.00259146,0.00202911,-0.00056235,157,44
53,23,0.00266062,0.0019231,-0.00073752,162,38
53,24,0.00261679,0.00186006,-0.00075673,164,39
53,25,0.00262865,0.00217899,-0.00044966,158,37
53,26,0.00252002,0.00169374,-0.00082628,175,42
53,27,0.00260418,0.00225649,-0.00034769,180,45
53,28,0.0026235,0.00200035,-0.00062315,166,35
53,29,0.00250832,0.00193543,-0.00057289,149,40
53,30,0.00249079,0.00240952,-8.127e-05,135,40
53,31,0.00281659,0.00321703,0.00040045,14,5
54,13,0.00239063,0.00249114,0.00010051,138,34
54,14,0.00248179,0.00193613,-0.00054566,159,44
54,15,0.00251646,0.00196956,-0.0005469,155,44
54,16,0.0025243,0.00215444,-0.00036986,163,46
54,17,0.00253014,0.00180129,-0.00072885,157,37
54,18,0.00250775,0.00210198,-0.00040577,162,38
54,19,0.0026244,0.00180067,-0.00082373,162,43
54,20,0.00259902,0.00163292,-0.0009661,156,37
54,21,0.00264557,0.00210359,-0.00054198,173,34
54,22,0.00268159,0.00201649,-0.0006651,138,36
54,23,0.0026767,0.00201867,-0.00065803,178,46
54,24,0.0026007,0.00214179,-0.00045891,156,48
54,25,0.00255269,0.00220222,-0.00035047,174,45
54,26,0.00260107,0.00203363,-0.00056744,170,45
54,27,0.00263385,0.00215843,-0.00047543,161,36
54,28,0.00265522,0.00192085,-0.00073438,163,36
54,29,0.00260916,0.00192838,-0.00068078,155,37
54,30,0.00239532,0.00233214,-6.319e-05,158,40
55,13,0.00246292,0.00194185,-0.00052107,111,23
55,14,0.00258718,0.00199572,-0.00059145,171,44
55,15,0.00255771,0.00175079,-0.00080692,157,43
55,16,0.00255628,0.00209143,-0.00046485,141,40
55,17,0.00257064,0.00174351,-0.00082713,170,42
55,18,0.00254402,0.00179352,-0.0007505,161,46
55,19,0.00259468,0.00211979,-0.0004749,155,36
55,20,0.00254601,0.00212389,-0.00042212,160,31
55,21,0.00260917,0.0020388,-0.00057037,162,40
55,22,0.0025694,0.00196179,-0.00060761,143,39
55,23,0.00266324,0.00198296,-0.00068029,163,44
55,24,0.00260992,0.00180951,-0.00080041,160,42
55,25,0.00255055,0.00225994,-0.00029061,152,37
55,26,0.00252385,0.0017381,-0.00078575,165,47
55,27,0.00263242,0.00218044,-0.00045197,171,45
55,28,0.00264186,0.00200209,-0.00063977,156,39
55,29,0.00252367,0.00174693,-0.00077674,154,38
55,30,0.00248453,0.00238439,-0.00010014,110,25
56,13,0.00245537,0.00193478,-0.00052059,50,16
56,14,0.00255184,0.00200265,-0.00054919,147,47
56,15,0.0025329,0.00175747,-0.00077543,152,39
56,16,0.00255671,0.00228154,-0.00027517,153,47
56,17,0.00261477,0.00196558,-0.00064918,159,41
56,18,0.00251418,0.00196136,-0.00055283,157,38
56,19,0.00268796,0.00189994,-0.00078802,165,43
56,20,0.00260869,0.00174286,-0.00086582,165,41
56,21,0.00260697,0.00190364,-0.00070333,161,41
56,22,0.00276385,0.00203428,-0.00072958,140,39
56,23,0.0026991,0.00209652,-0.00060258,163,41
56,24,0.00255756,0.00212818,-0.00042939,165,48
56,25,0.00252984,0.00229265,-0.00023719,169,40
56,26,0.00274679,0.00193241,-0.00081438,164,48
56,27,0.00270341,0.00207869,-0.00062472,171,43
56,28,0.00265538,0.0019153,-0.00074008,148,37
56,29,0.00259146,0.00208573,-0.00050573,162,30
56,30,0.00240831,0.00244875,4.043e-05,61,16
57,14,0.0023093,0.00237831,6.9e-05,144,40
57,15,0.00259194,0.00197059,-0.00062135,161,37
57,16,0.00249089,0.00220932,-0.00028158,150,35
57,17,0.00253345,0.00187629,-0.00065716,167,39
57,18,0.00254221,0.00193038,-0.00061183,171,46
57,19,0.00270271,0.00213244,-0.00057028,154,38
57,20,0.00253279,0.00225264,-0.00028015,179,33
57,21,0.00260741,0.00202834,-0.00057907,155,39
57,22,0.0024624,0.00191499,-0.00054741,150,42
57,23,0.00269245,0.00210681,-0.00058564,162,53
57,24,0.00257372,0.0017686,-0.00080513,156,42
57,25,0.00265465,0.00201508,-0.00063957,149,43
57,26,0.0025818,0.00181352,-0.00076829,168,42
57,27,0.00273509,0.00195004,-0.00078505,157,42
57,28,0.00273606,0.00211071,-0.00062535,157,42
57,29,0.00252385,0.00233611,-0.00018774,139,39
58,14,0.00246951,0.00231589,-0.00015363,113,26
58,15,0.00261594,0.00191004,-0.0007059,150,42
58,16,0.00261369,0.00205145,-0.00056225,148,48
58,17,0.00258633,0.00202406,-0.00056227,146,44
58,18,0.00248175,0.00202311,-0.00045864,156,46
58,19,0.00271741,0.00219915,-0.00051826,156,41
58,20,0.00255853,0.00187195,-0.00068658,171,46
58,21,0.00249909,0.00183871,-0.00066037,156,36
58,22,0.0026181,0.00216186,-0.00045624,131,41
58,23,0.00271005,0.00213314,-0.00057691,164,38
58,24,0.00262472,0.00209991,-0.0005248,164,47
58,25,0.0025794,0.00201601,-0.00056339,182,43
58,26,0.00265613,0.00191873,-0.0007374,156,46
58,27,0.00268721,0.00220634,-0.00048087,161,44
58,28,0.00265629,0.00204813,-0.00060816,163,37
58,29,0.00254145,0.00244348,-9.797e-05,113,31
59,14,0.00220754,0.00227914,7.16e-05,9,2
59,15,0.00240376,0.0023304,-7.335e-05,165,41
59,16,0.00260098,0.0020882,-0.00051278,147,38
59,17,0.00256922,0.00183368,-0.00073554,148,44
59,18,0.00251991,0.00226972,-0.00025019,177,41
59,19,0.00268724,0.00215371,-0.00053353,148,35
59,20,0.00256939,0.00223063,-0.00033876,181,36
59,21,0.00263632,0.00186761,-0.00076872,158,39
59,22,0.00250728,0.00221542,-0.00029186,172,43
59,23,0.00280196,0.002282,-0.00051997,169,47
59,24,0.00257013,0.00196736,-0.00060276,149,37
59,25,0.00265519,0.00179613,-0.00085906,163,45
59,26,0.00259016,0.00193167,-0.00065849,163,41
59,27,0.002733,0.00196626,-0.00076673,151,43
59,28,0.00247723,0.00237948,-9.774e-05,154,44
59,29,0.00248031,0.00226515,-0.00021516,31,12
60,15,0.00241332,0.00271843,0.00030511,138,38
60,16,0.00263595,0.00201767,-0.00061829,142,46
60,17,0.00253783,0.00203083,-0.000507,151,43
60,18,0.00252458,0.00226904,-0.00025555,177,39
60,19,0.00267477,0.002272,-0.00040278,138,31
60,20,0.00260616,0.00188241,-0.00072375,171,42
60,21,0.00259151,0.00197877,-0.00061274,138,30
60,22,0.00270476,0.00206171,-0.00064305,144,46
60,23,0.00267578,0.0022188,-0.00045698,134,34
60,24,0.00260375,0.0020612,-0.00054255,152,46
60,25,0.00260528,0.00202648,-0.0005788,167,38
60,26,0.00264,0.00203729,-0.00060272,159,44
60,27,0.00265263,0.00207742,-0.00057521,151,41
60,28,0.00250176,0.00235577,-0.00014599,138,31
61,15,0.00241337,0.00200853,-0.00040484,29,5
61,16,0.00257355,0.00221255,-0.000361,143,35
61,17,0.0025738,0.00223756,-0.00033624,142,33
61,18,0.00254542,0.00213562,-0.0004098,169,44
61,19,0.00263703,0.00190233,-0.0007347,135,29
61,20,0.00261062,0.00219522,-0.0004154,158,37
61,21,0.00252784,0.00183212,-0.00069571,137,28
61,22,0.00255522,0.00238908,-0.00016614,150,39
61,23,0.00277714,0.002254,-0.00052315,137,39
61,24,0.00255888,0.00206517,-0.00049371,141,42
61,25,0.00267879,0.00198543,-0.00069336,160,45
61,26,0.0025923,0.00209139,-0.00050092,130,42
61,27,0.00267857,0.00200023,-0.00067835,141,36
61,28,0.00260553,0.00206302,-0.0005425,62,16
62,16,0.00236004,0.00249152,0.00013148,73,22
62,17,0.00255331,0.00206378,-0.00048952,137,44
62,18,0.00260971,0.00244729,-0.00016242,137,34
62,19,0.00278684,0.00218589,-0.00060094,97,23
62,20,0.00272347,0.00211979,-0.00060368,124,33
62,21,0.00256593,0.00199015,-0.00057578,89,26
62,22,0.00270347,0.00201071,-0.00069276,112,39
62,23,0.002662,0.00218939,-0.00047261,88,23
62,24,0.0025709,0.00212723,-0.00044368,116,38
62,25,0.00261374,0.00207877,-0.00053497,122,39
62,26,0.00268915,0.00187323,-0.00081592,125,44
62,27,0.00256534,0.00233022,-0.00023512,87,26
63,17,0.00253048,0.00262685,9.637e-05,113,33
63,18,0.00262073,0.00206144,-0.0005593,134,45
63,19,0.00258193,0.00179563,-0.00078629,88,27
63,20,0.00274051,0.00211286,-0.00062765,115,22
63,21,0.00260346,0.00193272,-0.00067074,72,24
63,22,0.00264033,0.0023312,-0.00030914,100,37
63,23,0.00271176,0.00225403,-0.00045774,87,27
63,24,0.00258113,0.00219853,-0.0003826,116,36
63,25,0.00268372,0.00200218,-0.00068154,128,46
63,26,0.00252094,0.00232327,-0.00019767,114,33
64,17,0.00240635,0.0014868,-0.00091955,5,2
64,18,0.00264216,0.00241948,-0.00022268,115,27
64,19,0.00268943,0.0021623,-0.00052714,65,17
64,20,0.00276114,0.00210152,-0.00065961,75,14
64,21,0.00244908,0.00190715,-0.00054193,43,10
64,22,0.00273531,0.00197991,-0.00075541,64,29
64,23,0.00253236,0.00223422,-0.00029813,61,15
64,24,0.00257688,0.00228106,-0.00029582,70,23
64,25,0.00266435,0.00212851,-0.00053583,93,32
64,26,0.00240639,0.00203345,-0.00037294,25,13
65,18,0.00244756,0.00221507,-0.00023249,4,1
65,19,0.00249706,0.00236148,-0.00013558,39,10
65,20,0.0026627,0.00195352,-0.00070918,59,13
65,21,0.0023802,0.00187508,-0.00050513,32,14
65,22,0.00253001,0.00243059,-9.942e-05,48,19
65,23,0.00259635,0.00217189,-0.00042446,63,18
65,24,0.00250381,0.0020523,-0.00045151,47,18
65,25,0.002775,0.00153182,-0.00124318,14,4
66,20,0.00270779,0.00170243,-0.00100536,7,4
66,21,0.00291844,0.00210213,-0.00081631,8,2
66,22,0.00292461,0.00301721,9.26e-05,15,3
66,23,0.00287362,0.00273098,-0.00014263,21,2
