run_id,wafer_no,total_dies,risk_dies,avg_ppm
13,20,268,0,2546.1
13,21,268,0,2547.7
14,1,220,64,3188.6
14,2,280,132,3298.8
14,4,268,8,2902.7
14,5,264,192,3513.9
14,6,232,8,2923.7
14,7,256,32,3094.6
14,8,236,28,3158.5
14,10,272,56,3113.5
14,12,232,0,2743.3
14,13,288,52,3139.2
14,14,244,8,3105.9
14,16,224,0,2826.3
14,17,232,0,2881.5
14,18,288,0,1399.8
14,19,296,0,1320.0
14,20,248,0,1555.4
14,22,296,0,1059.9
14,23,268,0,825.6
14,24,276,0,649.3
14,25,276,0,1752.2
15,2,292,0,381.0
15,3,312,0,1003.8
15,4,276,0,718.6
15,6,264,0,270.8
15,8,272,0,414.7
15,9,264,0,664.1
15,10,268,0,465.1
15,11,276,0,82.2
15,12,220,0,979.8
15,14,248,0,489.8
15,15,256,0,622.4
15,16,288,0,635.0
15,17,276,0,111.4
15,18,224,0,222.9
15,20,284,0,316.0
15,21,276,0,237.7
15,22,256,0,500.6
15,23,236,0,275.7
15,24,268,0,416.6
16,1,236,0,1471.2
16,3,308,0,284.8
16,4,244,0,1147.9
16,6,292,0,1461.3
16,7,240,0,1513.2
16,8,276,0,934.9
16,10,256,0,1506.9
16,11,248,0,2741.0
16,12,268,40,3140.7
16,13,288,64,3133.8
16,14,224,28,3025.5
16,15,264,0,2453.4
16,16,256,0,2823.1
16,18,272,0,2741.8
16,19,280,0,2834.6
17,1,260,196,3436.0
17,2,272,0,2879.8
17,3,268,8,3091.8
17,5,164,8,3070.0
17,6,208,36,3138.4
17,7,192,8,3018.7
17,8,168,8,2797.5
17,9,160,0,3065.3
17,11,20,0,2970.9
17,12,12,0,2383.7
17,13,252,20,3178.0
17,14,244,0,2892.4
17,15,272,156,3378.0
17,17,204,0,2937.9
17,18,252,24,3027.5
17,19,300,28,3038.2
17,20,284,84,3234.9
17,24,268,64,3207.1
17,25,268,0,1575.3
18,3,196,0,2783.8
18,6,264,0,2484.3
18,9,272,0,2367.9
18,11,300,0,2667.5
18,16,228,0,2384.7
18,19,252,0,2436.8
18,24,288,0,2238.5
18,25,260,0,1025.1
19,19,200,12,2937.4
19,22,248,44,3039.0
19,24,220,12,3059.3
19,25,252,0,2349.6
20,5,148,0,1847.4
20,9,276,0,343.1
20,11,228,0,2182.9
20,14,300,0,2020.1
21,1,268,168,3381.5
21,2,252,0,2724.1
21,4,264,0,1804.1
21,6,272,4,2803.6
21,8,200,32,2798.0
21,10,244,0,690.7
21,16,252,0,1531.5
21,19,228,0,2430.8
21,24,220,0,2403.0
22,1,196,0,2111.2
