ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00620,81,13,2026-06-07,26,22,0.0035913521969223,0.0,0.5331205121758152,test,1
S00623,81,6,2026-06-07,26,23,0.003543675065262,0.0,0.482530027663802,test,1
S00625,81,3,2026-06-07,55,21,0.0033491767050486,0.0,0.4415125602535872,test,1
S00627,81,23,2026-06-07,41,12,0.0036178644548516,0.0,0.4960601418148549,test,1
S00631,81,24,2026-06-07,45,24,0.0034946848337095,0.0,0.4553321053528651,test,1
S00948,81,2,2026-06-07,14,23,0.003563569761535,0.0,0.5268568795354418,test,1
S00967,81,19,2026-06-07,31,28,0.0034550442086928,0.0,0.4562878314908683,test,1
S01566,81,10,2026-06-07,33,21,0.0035484439842142,0.0043657765284609,0.501369259985324,test,1
S01576,81,5,2026-06-07,30,26,0.003432018096868,0.0071406199264961,0.4735453215214689,test,1
S01577,81,6,2026-06-07,18,20,0.0034964557587521,0.0,0.4483546856171641,test,1
S01578,81,3,2026-06-07,47,27,0.0034449894092184,0.0057999428174651,0.4871664213972127,test,1
S01585,81,3,2026-06-07,41,30,0.0034390655989585,0.0086589891457741,0.4680705251739412,test,1
S01595,81,17,2026-06-07,26,20,0.0034266732288233,0.0,0.4883982143103862,test,1
S01598,81,18,2026-06-07,43,17,0.0033375431326213,0.0043918172579861,0.4261859457923569,test,1
S01607,81,25,2026-06-07,62,22,0.003570887431389,0.0073871929558581,0.4929914787683808,test,1
S01612,81,24,2026-06-07,60,21,0.0034898560383393,0.0074401420363534,0.4825282594704204,test,1
S01617,81,19,2026-06-07,21,23,0.0035282265731018,0.0202655668853996,0.4637700938767466,test,1
S01618,81,19,2026-06-07,62,21,0.0034169590632223,0.0014463904264669,0.4949122231310858,test,1
S01621,81,12,2026-06-07,35,27,0.0031538290425004,0.0014691319706173,0.4688566614993372,test,1
S01727,81,11,2026-06-07,46,31,0.0033895921718315,0.0074464961014521,0.4118020684456514,test,1
S01728,81,8,2026-06-07,60,28,0.0035366272028231,0.0073384362781577,0.4611170049721202,test,1
S01729,81,2,2026-06-07,37,32,0.0035019167640696,0.0101314555631272,0.4367815901981762,test,1
S01731,81,9,2026-06-07,21,29,0.0034254191506603,0.0087196806877494,0.4725031170001919,test,1
S02310,81,4,2026-06-07,18,19,0.0034667843757921,0.0,0.4711468118476021,test,1
S02312,81,13,2026-06-07,40,30,0.0035103649331534,0.009139781650555,0.4693541539849246,test,1
S02316,81,10,2026-06-07,63,24,0.0033636623397956,0.005954163721532,0.4100834074027498,test,1
S02322,81,11,2026-06-07,57,20,0.0032830417474914,0.0,0.4195942140514708,test,1
S02323,81,12,2026-06-07,40,21,0.0032872432970622,0.0159011564990731,0.4324339752353037,test,1
S02636,81,17,2026-06-07,56,30,0.003306338065632,0.0,0.4608853373435138,test,1
S03242,81,9,2026-06-07,43,30,0.0034631513849339,0.0,0.4276419443059813,test,1
S03247,81,25,2026-06-07,46,24,0.0035971624310097,0.0,0.4810371795096742,test,1
S03266,81,2,2026-06-07,56,29,0.0033523355254613,0.0,0.433581206473521,test,1
S03463,81,8,2026-06-07,47,25,0.0034628994456372,0.0029044964175929,0.4654439007928122,test,1
S03471,81,13,2026-06-07,20,15,0.0034492945698332,0.0058089928351858,0.4601449434950861,test,1
S03518,81,25,2026-06-07,62,25,0.0034738817034456,0.0,0.4365387649208264,test,1
