ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S03769,225,1,2026-05-30,33,26,0.0006019470941303,0.0,0.1793384884916946,val,1
S06183,225,1,2026-05-30,57,26,0.0005486148143018,0.0059724988658861,0.1793748742393888,val,1
S07311,225,1,2026-05-30,47,31,0.000619678639843,0.0,0.1900250127000504,val,1
S08141,225,1,2026-05-30,21,22,0.0006038195679036,0.0,0.1354946336881134,val,1
S10771,225,1,2026-05-30,56,28,0.0006956443162495,0.0,0.1755146010084669,val,1
S11955,225,1,2026-05-30,45,26,0.0006235450212057,0.0,0.173150108538222,val,1
S12658,225,1,2026-05-30,29,22,0.0005382878372258,0.0,0.1522500465812624,val,1
S12779,225,1,2026-05-30,55,21,0.0005967076545989,0.0,0.2043288271676584,val,1
S14351,225,1,2026-05-30,21,14,0.0009821099087951,0.0,0.1843733956433745,val,1
S15325,225,1,2026-05-30,36,30,0.0005852349379355,0.0,0.2174229404017436,val,1
S16236,225,1,2026-05-30,35,28,0.0005504869318715,0.0,0.1217791908806404,val,1
S21439,225,1,2026-05-30,27,24,0.0005365007236749,0.0,0.2036717867320134,val,1
S22311,225,1,2026-05-30,29,17,0.0005552979528477,0.0,0.2044066357311289,val,1
S25403,225,1,2026-05-30,32,30,0.0006589227801794,0.0,0.1495962735647864,val,1
S28776,225,1,2026-05-30,18,27,0.0006959087288445,0.0,0.1803799023003634,val,1
S29608,225,1,2026-05-30,25,14,0.0008245014024063,0.0,0.2096057337235503,val,1
S34520,225,1,2026-05-30,19,24,0.0006039541336673,0.0,0.1755456631792264,val,1
S38630,225,1,2026-05-30,48,18,0.0005962562667315,0.0,0.2204280817602454,val,1
S38631,225,1,2026-05-30,63,21,0.0006328707860911,0.0,0.1844092367657073,val,1
S39760,225,1,2026-05-30,48,20,0.0005476749573255,0.0,0.1976065028854205,val,1
S03769,225,1,2026-05-30,32,26,0.0005694903781678,0.0,0.1793384884916946,val,2
S06183,225,1,2026-05-30,56,26,0.0007046987695181,0.0059724988658861,0.1793748742393888,val,2
S07311,225,1,2026-05-30,48,31,0.000722040404596,0.0,0.1900250127000504,val,2
S08141,225,1,2026-05-30,20,22,0.0006003051124488,0.0,0.1354946336881134,val,2
S10771,225,1,2026-05-30,55,28,0.0006647481370465,0.0,0.1755146010084669,val,2
S11955,225,1,2026-05-30,44,26,0.0006159364852952,0.0,0.173150108538222,val,2
S12658,225,1,2026-05-30,28,22,0.0005177521991855,0.0,0.1522500465812624,val,2
S12779,225,1,2026-05-30,56,21,0.0006010508009274,0.0,0.2043288271676584,val,2
S14351,225,1,2026-05-30,20,14,0.0010599769424813,0.0,0.1843733956433745,val,2
S15325,225,1,2026-05-30,35,30,0.0006224082485549,0.0,0.2174229404017436,val,2
S16236,225,1,2026-05-30,34,28,0.0006302547072705,0.0,0.1217791908806404,val,2
S21439,225,1,2026-05-30,26,24,0.0005975326703195,0.0,0.2036717867320134,val,2
S22311,225,1,2026-05-30,30,17,0.0006329854655075,0.0,0.2044066357311289,val,2
S25403,225,1,2026-05-30,31,30,0.0007624322522513,0.0,0.1495962735647864,val,2
S28776,225,1,2026-05-30,19,27,0.000686996433597,0.0,0.1803799023003634,val,2
S29608,225,1,2026-05-30,24,14,0.0008921009103175,0.0,0.2096057337235503,val,2
S34520,225,1,2026-05-30,18,24,0.0008304668660009,0.0,0.1755456631792264,val,2
S38630,225,1,2026-05-30,47,18,0.0006322899636871,0.0,0.2204280817602454,val,2
S38631,225,1,2026-05-30,64,21,0.0006648879235759,0.0,0.1844092367657073,val,2
S39760,225,1,2026-05-30,47,20,0.0005900865840255,0.0,0.1976065028854205,val,2
S03769,225,1,2026-05-30,35,26,0.0005339895293101,0.0,0.1793384884916946,val,3
S06183,225,1,2026-05-30,59,26,0.0006310163004818,0.0059724988658861,0.1793748742393888,val,3
S07311,225,1,2026-05-30,45,31,0.0007933404768448,0.0,0.1900250127000504,val,3
S08141,225,1,2026-05-30,23,22,0.0005339319323308,0.0,0.1354946336881134,val,3
S10771,225,1,2026-05-30,58,28,0.0006462358058299,0.0,0.1755146010084669,val,3
S11955,225,1,2026-05-30,47,26,0.0006152795311258,0.0,0.173150108538222,val,3
S12658,225,1,2026-05-30,31,22,0.0005686847815045,0.0,0.1522500465812624,val,3
S12779,225,1,2026-05-30,53,21,0.0005843665918387,0.0,0.2043288271676584,val,3
S14351,225,1,2026-05-30,26,13,0.0010758476385853,0.0,0.1843733956433745,val,3
S15325,225,1,2026-05-30,38,30,0.0006550532623624,0.0,0.2174229404017436,val,3
S16236,225,1,2026-05-30,37,28,0.0006667839515983,0.0,0.1217791908806404,val,3
S21439,225,1,2026-05-30,29,24,0.0005518233506495,0.0,0.2036717867320134,val,3
S22311,225,1,2026-05-30,27,17,0.000640221507879,0.0,0.2044066357311289,val,3
S25403,225,1,2026-05-30,34,30,0.0005806245852404,0.0,0.1495962735647864,val,3
S28776,225,1,2026-05-30,18,26,0.0007141026847696,0.0,0.1803799023003634,val,3
S29608,225,1,2026-05-30,27,14,0.000916367429867,0.0,0.2096057337235503,val,3
S34520,225,1,2026-05-30,21,24,0.0005446276184051,0.0,0.1755456631792264,val,3
S38630,225,1,2026-05-30,50,18,0.0006274647329531,0.0,0.2204280817602454,val,3
S38631,225,1,2026-05-30,61,21,0.0006469863298785,0.0,0.1844092367657073,val,3
S39760,225,1,2026-05-30,50,20,0.0005777471291525,0.0,0.1976065028854205,val,3
S03769,225,1,2026-05-30,34,26,0.0005202628319934,0.0,0.1793384884916946,val,4
S06183,225,1,2026-05-30,58,26,0.0006078499782792,0.0059724988658861,0.1793748742393888,val,4
S07311,225,1,2026-05-30,46,31,0.0007256957043946,0.0,0.1900250127000504,val,4
S08141,225,1,2026-05-30,22,22,0.0005833070624546,0.0,0.1354946336881134,val,4
S10771,225,1,2026-05-30,57,28,0.0007701988854692,0.0,0.1755146010084669,val,4
S11955,225,1,2026-05-30,46,26,0.000708370634935,0.0,0.173150108538222,val,4
S12658,225,1,2026-05-30,30,22,0.0005192238477974,0.0,0.1522500465812624,val,4
S12779,225,1,2026-05-30,54,21,0.0006148828116085,0.0,0.2043288271676584,val,4
S14351,225,1,2026-05-30,22,14,0.0010675328857031,0.0,0.1843733956433745,val,4
