ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S05209,304,1,2026-06-08,40,12,0.0031999844138029,0.0,0.4011463444336376,val,1
S08117,304,1,2026-06-08,31,29,0.0031385833524108,0.0,0.4189157146614103,val,1
S11919,304,1,2026-06-08,14,23,0.0031634794084131,0.0,0.449937050658256,val,1
S12202,304,1,2026-06-08,23,28,0.0032612969815873,0.0,0.4227188256127245,val,1
S30510,304,1,2026-06-08,40,27,0.0027672729749019,0.0,0.4016390277719714,val,1
S32971,304,1,2026-06-08,41,16,0.0032264341851213,0.0,0.4010758153866305,val,1
S36329,304,1,2026-06-08,32,12,0.0030529971000167,0.0,0.3915835071065559,val,1
S37605,304,1,2026-06-08,25,23,0.0031345702495821,0.0,0.444436351355088,val,1
S38734,304,1,2026-06-08,25,22,0.0031153286435273,0.0,0.4515318271940349,val,1
S41140,304,1,2026-06-08,54,15,0.003213455450322,0.0,0.4542891929231942,val,1
S41143,304,1,2026-06-08,59,17,0.0032486966656697,0.0,0.4537913349926723,val,1
S05209,304,1,2026-06-08,39,12,0.0030155562659987,0.0,0.4011463444336376,val,2
S08117,304,1,2026-06-08,32,29,0.0032213673707387,0.0,0.4189157146614103,val,2
S11919,304,1,2026-06-08,16,23,0.0032186262404676,0.0,0.449937050658256,val,2
S12202,304,1,2026-06-08,22,28,0.0032636045730491,0.0,0.4227188256127245,val,2
S30510,304,1,2026-06-08,41,27,0.0030199817710659,0.0,0.4016390277719714,val,2
S32971,304,1,2026-06-08,40,16,0.0030172495494316,0.0,0.4010758153866305,val,2
S36329,304,1,2026-06-08,32,13,0.0032496692467972,0.0,0.3915835071065559,val,2
S37605,304,1,2026-06-08,26,23,0.003162664683072,0.0,0.444436351355088,val,2
S38734,304,1,2026-06-08,24,22,0.0031212030612763,0.0,0.4515318271940349,val,2
S41140,304,1,2026-06-08,55,15,0.0032981407004644,0.0,0.4542891929231942,val,2
S41143,304,1,2026-06-08,60,17,0.0032515266922077,0.0,0.4537913349926723,val,2
