ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00263,202,1,2026-06-09,33,23,0.0026050661531619,0.0,0.3922406995783323,val,1
S02401,202,1,2026-06-09,37,26,0.0018608901401948,0.0,0.3525297286568704,val,1
S03665,202,1,2026-06-09,58,17,0.0028902024330131,0.0,0.3311861942578553,val,1
S04402,202,1,2026-06-09,62,21,0.0029691248492184,0.0,0.3402402845131533,val,1
S04770,202,1,2026-06-09,38,26,0.0023156122975395,0.0,0.4083077305659707,val,1
S06169,202,1,2026-06-09,51,20,0.0025951620119307,0.0120893688960241,0.3299178266211271,val,1
S07483,202,1,2026-06-09,44,13,0.0022050384300853,0.010247754713702,0.357418911699489,val,1
S08767,202,1,2026-06-09,60,18,0.002902035445636,0.0,0.3422712007347201,val,1
S09655,202,1,2026-06-09,47,19,0.0028566946076652,0.0,0.3525908900664762,val,1
S10331,202,1,2026-06-09,56,14,0.0023168736186003,0.0,0.2763462914817161,val,1
S16888,202,1,2026-06-09,39,15,0.0022624399234793,0.0,0.3320962002402647,val,1
S20082,202,1,2026-06-09,54,25,0.0029471635111551,0.0,0.3489814640839763,val,1
S23128,202,1,2026-06-09,34,19,0.0028666159884456,0.0,0.3465048071280308,val,1
S24968,202,1,2026-06-09,45,24,0.0023241429031922,0.0061530461911777,0.4046261532555673,val,1
S24972,202,1,2026-06-09,48,15,0.0022691540327623,0.0204564631310325,0.3057539715785198,val,1
S25872,202,1,2026-06-09,48,14,0.0023738707507512,0.0,0.3497600910460438,val,1
S26329,202,1,2026-06-09,51,15,0.002617203112166,0.0,0.3582135938710255,val,1
S27391,202,1,2026-06-09,17,25,0.0030352383086973,0.0,0.3929956569848571,val,1
S29570,202,1,2026-06-09,60,24,0.0030020184012917,0.0,0.3887662425196114,val,1
S29571,202,1,2026-06-09,31,18,0.0025497919562044,0.0,0.347274632594801,val,1
S29573,202,1,2026-06-09,51,21,0.0028829299201199,0.0046383790871632,0.3710257052344554,val,1
S37404,202,1,2026-06-09,49,30,0.0030547790568672,0.0,0.3707753166818925,val,1
S39387,202,1,2026-06-09,36,24,0.0028045351974765,0.0,0.3807131824024206,val,1
S42355,202,1,2026-06-09,32,23,0.0029198287858407,0.0,0.3844211729798782,val,1
S00263,202,1,2026-06-09,35,23,0.0026401989781965,0.0,0.3922406995783323,val,2
S02401,202,1,2026-06-09,34,26,0.0021822690061217,0.0,0.3525297286568704,val,2
S03665,202,1,2026-06-09,60,17,0.0029166360620638,0.0,0.3311861942578553,val,2
S04402,202,1,2026-06-09,63,21,0.0030110506797775,0.0,0.3402402845131533,val,2
S04770,202,1,2026-06-09,35,26,0.0024120102455727,0.0,0.4083077305659707,val,2
S06169,202,1,2026-06-09,49,20,0.0025802852785175,0.0120893688960241,0.3299178266211271,val,2
S07483,202,1,2026-06-09,46,13,0.0023177648775086,0.010247754713702,0.357418911699489,val,2
S08767,202,1,2026-06-09,58,18,0.0028885645895187,0.0,0.3422712007347201,val,2
S09655,202,1,2026-06-09,49,19,0.0027731758832679,0.0,0.3525908900664762,val,2
S10331,202,1,2026-06-09,53,14,0.0023447254932696,0.0,0.2763462914817161,val,2
S16888,202,1,2026-06-09,41,15,0.0020036078180112,0.0,0.3320962002402647,val,2
S20082,202,1,2026-06-09,56,25,0.0029627968804748,0.0,0.3489814640839763,val,2
S23128,202,1,2026-06-09,36,19,0.0028049330469471,0.0,0.3465048071280308,val,2
S24968,202,1,2026-06-09,43,24,0.0027208034203817,0.0061530461911777,0.4046261532555673,val,2
S24972,202,1,2026-06-09,50,15,0.0020794044723704,0.0204564631310325,0.3057539715785198,val,2
S25872,202,1,2026-06-09,46,14,0.002326839444287,0.0,0.3497600910460438,val,2
S26329,202,1,2026-06-09,52,15,0.0024965715863911,0.0,0.3582135938710255,val,2
S27391,202,1,2026-06-09,19,25,0.0029011181759068,0.0,0.3929956569848571,val,2
S29570,202,1,2026-06-09,58,24,0.0029330189063759,0.0,0.3887662425196114,val,2
S29571,202,1,2026-06-09,29,18,0.0026412840830887,0.0,0.347274632594801,val,2
S29573,202,1,2026-06-09,53,21,0.0028899174665266,0.0046383790871632,0.3710257052344554,val,2
S37404,202,1,2026-06-09,47,30,0.0029778047113745,0.0,0.3707753166818925,val,2
S39387,202,1,2026-06-09,34,24,0.0026701438119614,0.0,0.3807131824024206,val,2
S42355,202,1,2026-06-09,34,23,0.0025357514067416,0.0,0.3844211729798782,val,2
S00263,202,1,2026-06-09,28,23,0.0028928916703606,0.0,0.3922406995783323,val,3
S02401,202,1,2026-06-09,43,26,0.0021621644729151,0.0,0.3525297286568704,val,3
S03665,202,1,2026-06-09,54,17,0.0024020422517811,0.0,0.3311861942578553,val,3
S04402,202,1,2026-06-09,60,21,0.0029887450768434,0.0,0.3402402845131533,val,3
S04770,202,1,2026-06-09,44,26,0.0020447028096873,0.0,0.4083077305659707,val,3
S06169,202,1,2026-06-09,55,20,0.0025454721051431,0.0120893688960241,0.3299178266211271,val,3
S07483,202,1,2026-06-09,40,13,0.0025634383876978,0.010247754713702,0.357418911699489,val,3
S08767,202,1,2026-06-09,64,18,0.0027671340849982,0.0,0.3422712007347201,val,3
S09655,202,1,2026-06-09,37,19,0.0025909099756534,0.0,0.3525908900664762,val,3
S10331,202,1,2026-06-09,48,13,0.0023059504417736,0.0,0.2763462914817161,val,3
S16888,202,1,2026-06-09,34,15,0.0026666441161111,0.0,0.3320962002402647,val,3
S20082,202,1,2026-06-09,49,25,0.0028684171051387,0.0,0.3489814640839763,val,3
S23128,202,1,2026-06-09,30,19,0.0023547588472719,0.0,0.3465048071280308,val,3
S24968,202,1,2026-06-09,49,24,0.0029787728789282,0.0061530461911777,0.4046261532555673,val,3
S24972,202,1,2026-06-09,43,15,0.0021776706383313,0.0204564631310325,0.3057539715785198,val,3
S25872,202,1,2026-06-09,52,14,0.0017064025213461,0.0,0.3497600910460438,val,3
S26329,202,1,2026-06-09,47,15,0.0023874112381838,0.0,0.3582135938710255,val,3
S27391,202,1,2026-06-09,15,24,0.0029968503682804,0.0,0.3929956569848571,val,3
S29570,202,1,2026-06-09,64,24,0.0030330463374519,0.0,0.3887662425196114,val,3
S29571,202,1,2026-06-09,35,18,0.0026197137130259,0.0,0.347274632594801,val,3
S29573,202,1,2026-06-09,46,21,0.0027890324038978,0.0046383790871632,0.3710257052344554,val,3
S37404,202,1,2026-06-09,56,29,0.0030850398877938,0.0,0.3707753166818925,val,3
S39387,202,1,2026-06-09,40,24,0.0022085880443346,0.0,0.3807131824024206,val,3
S42355,202,1,2026-06-09,27,23,0.0028595089979023,0.0,0.3844211729798782,val,3
S00263,202,1,2026-06-09,31,23,0.0027658046810879,0.0,0.3922406995783323,val,4
S02401,202,1,2026-06-09,41,26,0.0022153813896244,0.0,0.3525297286568704,val,4
S03665,202,1,2026-06-09,56,17,0.0026864897328718,0.0,0.3311861942578553,val,4
S04402,202,1,2026-06-09,61,21,0.0029960175554305,0.0,0.3402402845131533,val,4
S04770,202,1,2026-06-09,42,26,0.0019715799777239,0.0,0.4083077305659707,val,4
S06169,202,1,2026-06-09,53,20,0.0026427167427477,0.0120893688960241,0.3299178266211271,val,4
S07483,202,1,2026-06-09,42,13,0.0027644779549258,0.010247754713702,0.357418911699489,val,4
S08767,202,1,2026-06-09,62,18,0.003010556612253,0.0,0.3422712007347201,val,4
S09655,202,1,2026-06-09,45,19,0.0020891588421536,0.0,0.3525908900664762,val,4
S10331,202,1,2026-06-09,51,13,0.0021593234607956,0.0,0.2763462914817161,val,4
S16888,202,1,2026-06-09,36,15,0.0025220860309484,0.0,0.3320962002402647,val,4
S20082,202,1,2026-06-09,52,25,0.002888760095188,0.0,0.3489814640839763,val,4
S23128,202,1,2026-06-09,32,19,0.0028901641943082,0.0,0.3465048071280308,val,4
S24968,202,1,2026-06-09,47,24,0.0029393146078866,0.0061530461911777,0.4046261532555673,val,4
S24972,202,1,2026-06-09,46,15,0.0020171570034091,0.0204564631310325,0.3057539715785198,val,4
S25872,202,1,2026-06-09,50,14,0.0022957858851021,0.0,0.3497600910460438,val,4
S26329,202,1,2026-06-09,49,15,0.0022688059231218,0.0,0.3582135938710255,val,4
S27391,202,1,2026-06-09,15,25,0.0030157072437665,0.0,0.3929956569848571,val,4
S29570,202,1,2026-06-09,62,24,0.0030844675117845,0.0,0.3887662425196114,val,4
S29571,202,1,2026-06-09,33,18,0.0021313065472883,0.0,0.347274632594801,val,4
S29573,202,1,2026-06-09,48,21,0.0028121804666166,0.0046383790871632,0.3710257052344554,val,4
S37404,202,1,2026-06-09,51,30,0.0030063191063008,0.0,0.3707753166818925,val,4
S39387,202,1,2026-06-09,38,24,0.0020215105676077,0.0,0.3807131824024206,val,4
S42355,202,1,2026-06-09,30,23,0.0029294172511559,0.0,0.3844211729798782,val,4
S00753,202,2,2026-06-08,54,25,0.0018648535986162,0.0,0.2369616802946925,val,1
S03304,202,2,2026-06-08,53,29,0.0018310101618743,0.0,0.2349965622101339,val,1
S04378,202,2,2026-06-08,54,14,0.0020195793803637,0.0,0.2100995008533974,val,1
S04379,202,2,2026-06-08,30,22,0.0023637740974438,0.0,0.3453247600892026,val,1
S11256,202,2,2026-06-08,30,23,0.0023431237549005,0.0193093132469853,0.3486156442231765,val,1
S16331,202,2,2026-06-08,53,15,0.001954758612697,0.0055295950155763,0.2658763763188687,val,1
