ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S01932,262,1,2026-06-08,61,25,0.0035052937912602,0.0,0.4735092493986164,val,1
S03042,262,1,2026-06-08,27,23,0.0035244678078506,0.0105377301626245,0.4205581734274782,val,1
S03050,262,1,2026-06-08,42,30,0.0033650472230297,0.0075106388123216,0.4716200230042341,val,1
S03053,262,1,2026-06-08,29,28,0.0034517766800203,0.0046468575275352,0.4576569335381986,val,1
S03984,262,1,2026-06-08,33,13,0.0034346018096067,0.0,0.3993691988663259,val,1
S07225,262,1,2026-06-08,58,28,0.0034130636512921,0.0,0.4600738969160283,val,1
S10284,262,1,2026-06-08,38,15,0.0034153179805963,0.0,0.4476047763106393,val,1
S10453,262,1,2026-06-08,42,21,0.0033013702685715,0.0,0.3984464189402554,val,1
S10578,262,1,2026-06-08,28,31,0.0031512942410551,0.0,0.4366146637672821,val,1
S13049,262,1,2026-06-08,46,29,0.0034189289899317,0.0,0.4899143382850022,val,1
S15562,262,1,2026-06-08,22,24,0.0035236014454382,0.0065846565578277,0.4425174334754458,val,1
S16433,262,1,2026-06-08,20,23,0.003422936867455,0.0,0.4338902385435747,val,1
S16717,262,1,2026-06-08,38,30,0.0034132097387519,0.0,0.4520136377640069,val,1
S19250,262,1,2026-06-08,44,24,0.0034120396327557,0.0,0.4469701314996399,val,1
S22822,262,1,2026-06-08,44,19,0.0034332069688062,0.007911115355841,0.4739007422936017,val,1
S24302,262,1,2026-06-08,63,19,0.0034863925178595,0.0,0.4333099515853162,val,1
S24858,262,1,2026-06-08,28,25,0.0034742813046861,0.0125711394966485,0.472553993733609,val,1
S25545,262,1,2026-06-08,17,26,0.0034832694685439,0.0,0.4818342668466692,val,1
S27034,262,1,2026-06-08,33,28,0.0034302997348883,0.012518923221469,0.4676654079194859,val,1
S27037,262,1,2026-06-08,36,25,0.0034287299735934,0.0169544389050522,0.4536626741430327,val,1
S28093,262,1,2026-06-08,31,22,0.0034962310943656,0.0047328600473286,0.4187712164156136,val,1
S31701,262,1,2026-06-08,14,22,0.0032828869192575,0.0021831279787397,0.4577896527644592,val,1
S31706,262,1,2026-06-08,62,19,0.0034892813900654,0.0066347167897048,0.4753085772267409,val,1
S35736,262,1,2026-06-08,54,27,0.003485015886181,0.0,0.4454394357379561,val,1
S38689,262,1,2026-06-08,29,17,0.0035148655367686,0.0,0.4353191531418361,val,1
S39057,262,1,2026-06-08,24,21,0.0035317345106684,0.0,0.4660234168497328,val,1
S39215,262,1,2026-06-08,23,19,0.003500987027445,0.0,0.4683106574694136,val,1
S41495,262,1,2026-06-08,36,24,0.0033967936434398,0.0,0.4078380604376398,val,1
S01932,262,1,2026-06-08,62,25,0.0034275062238048,0.0,0.4735092493986164,val,2
S03042,262,1,2026-06-08,29,23,0.0035211690202273,0.0105377301626245,0.4205581734274782,val,2
S03050,262,1,2026-06-08,41,30,0.0034261830147989,0.0075106388123216,0.4716200230042341,val,2
S03053,262,1,2026-06-08,28,28,0.003390134514544,0.0046468575275352,0.4576569335381986,val,2
S03984,262,1,2026-06-08,35,13,0.0034214881476332,0.0,0.3993691988663259,val,2
S07225,262,1,2026-06-08,57,28,0.0033997967016911,0.0,0.4600738969160283,val,2
S10284,262,1,2026-06-08,40,15,0.0034271044027381,0.0,0.4476047763106393,val,2
S10453,262,1,2026-06-08,44,21,0.0033931341229882,0.0,0.3984464189402554,val,2
S10578,262,1,2026-06-08,29,31,0.0032579358521098,0.0,0.4366146637672821,val,2
S13049,262,1,2026-06-08,48,29,0.003376907959923,0.0,0.4899143382850022,val,2
S15562,262,1,2026-06-08,21,24,0.003447472401687,0.0065846565578277,0.4425174334754458,val,2
S16433,262,1,2026-06-08,22,23,0.0034373179748896,0.0,0.4338902385435747,val,2
S16717,262,1,2026-06-08,37,30,0.003413929679182,0.0,0.4520136377640069,val,2
S19250,262,1,2026-06-08,42,24,0.0034124258509577,0.0,0.4469701314996399,val,2
