ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00019,60,22,2026-06-07,22,25,0.0033813084789724,0.0024245439954728,0.450735718532936,test,1
S00090,60,25,2026-06-07,42,22,0.0031075176708971,0.0,0.4169601999944519,test,1
S00097,60,18,2026-06-07,20,21,0.0034901936134644,0.0,0.4587625118539003,test,1
S00353,60,21,2026-06-07,27,16,0.0033087298836302,0.0,0.4805086594043877,test,1
S00602,60,21,2026-06-07,17,16,0.0021222118722025,0.0,0.4376297846830494,test,1
S00610,60,16,2026-06-07,27,24,0.0033629039548941,0.0,0.4674065335511009,test,1
S00776,60,10,2026-06-07,40,18,0.0034785974837988,0.0,0.483590884960072,test,1
S00808,60,20,2026-06-07,26,24,0.0034700923833771,0.0,0.4818004885417235,test,1
S00813,60,19,2026-06-07,28,18,0.0032700766167038,0.0,0.42711394221827,test,1
S00924,60,14,2026-06-07,25,30,0.0033049770221984,0.0,0.4417164449210948,test,1
S01151,60,25,2026-06-07,25,23,0.0035049126486561,0.0,0.4243658127890215,test,1
S01245,60,21,2026-06-07,46,19,0.003108981406828,0.0119106461885033,0.4456115237055024,test,1
S01249,60,21,2026-06-07,16,24,0.0033672620266922,0.0,0.4702773426492059,test,1
S01250,60,20,2026-06-07,54,27,0.0027360698076882,0.0142342435229895,0.4202594987010484,test,1
S01251,60,21,2026-06-07,48,14,0.0031345759995293,0.0,0.4231267013434627,test,1
S01456,60,13,2026-06-07,44,15,0.0030449339238933,0.0,0.4048471662164168,test,1
S01461,60,21,2026-06-07,31,21,0.0034704436555186,0.0,0.4461062672364715,test,1
S01538,60,12,2026-06-07,54,15,0.0033467811925163,0.0029219395329012,0.4504932670605981,test,1
S01750,60,13,2026-06-07,58,29,0.0029183554965961,0.0,0.3769352371678876,test,1
S01946,60,22,2026-06-07,50,20,0.0027691733992263,0.0,0.3784008401320573,test,1
S01951,60,25,2026-06-07,42,29,0.0033011851883565,0.0,0.4175607827528076,test,1
S02043,60,25,2026-06-07,46,24,0.0034422956805594,0.0,0.4143508578969241,test,1
S02494,60,5,2026-06-07,57,17,0.0030555840158723,0.0,0.4358259743302282,test,1
S02646,60,23,2026-06-07,53,14,0.0030842296030246,0.0,0.4021710233180552,test,1
S02649,60,23,2026-06-07,37,30,0.0033181677012497,0.0028810592095347,0.4525656401180087,test,1
S02799,60,16,2026-06-07,31,22,0.0032997570259497,0.0,0.4895651565090088,test,1
S02968,60,14,2026-06-07,37,16,0.0034840223183197,0.0,0.4973467979322395,test,1
S03064,60,15,2026-06-07,41,12,0.0032436186066335,0.0134873539096139,0.4107771369455658,test,1
S04018,60,17,2026-06-07,46,32,0.0021836098677837,0.0,0.3916647911087831,test,1
S04065,60,25,2026-06-07,40,20,0.003353731072357,0.0,0.3835628569581059,test,1
S04317,60,15,2026-06-07,28,19,0.0034236449829031,0.0,0.4830465062743441,test,1
S04426,60,17,2026-06-07,25,22,0.003441235341059,0.0,0.4828189474979183,test,1
S04538,60,17,2026-06-07,55,26,0.0031613844092248,0.0,0.4138876986857625,test,1
S04546,60,13,2026-06-07,19,17,0.0034172341946118,0.0,0.4346444188303216,test,1
S04565,60,14,2026-06-07,25,22,0.0035288046520598,0.0,0.4718141291469843,test,1
S04798,60,10,2026-06-07,47,27,0.003337762803988,0.0,0.4659985772672597,test,1
S04914,60,19,2026-06-07,33,19,0.0032856805690878,0.0,0.4288787161065766,test,1
S04931,60,5,2026-06-07,46,18,0.0029378637124422,0.0,0.3735356007847466,test,1
S05354,60,21,2026-06-07,33,18,0.0033613436018832,0.0034080428439671,0.4581939056906516,test,1
S05356,60,16,2026-06-07,33,19,0.0032460797073092,0.0017295679560125,0.4120063412326479,test,1
S05366,60,13,2026-06-07,47,16,0.0031969882815283,0.0068648779308677,0.4209766327733595,test,1
S05371,60,14,2026-06-07,30,17,0.0034649572342468,0.0087763909785057,0.4787843669555103,test,1
S05692,60,20,2026-06-07,42,24,0.0034860682147844,0.0034623168263721,0.4616385385366384,test,1
S05693,60,20,2026-06-07,49,27,0.0030977153764377,0.0035207027237629,0.4340753402061501,test,1
S05921,60,5,2026-06-07,36,11,0.0023009606736753,0.0,0.3433637497333437,test,1
S06211,60,20,2026-06-07,26,27,0.0030245023707022,0.0092830393081614,0.509917358220536,test,1
S06212,60,20,2026-06-07,61,26,0.0024062115490511,0.0060795664792031,0.4238809498054693,test,1
S06226,60,5,2026-06-07,49,14,0.0027333504924485,0.0060490987208042,0.3778785244451221,test,1
S06444,60,17,2026-06-07,45,16,0.0033471819246245,0.0045814052100809,0.4377059780507868,test,1
S06452,60,18,2026-06-07,42,22,0.0033248176851014,0.003124076763029,0.4270729245125329,test,1
S07078,60,22,2026-06-07,57,14,0.0021604123563085,0.0,0.3770018556971282,test,1
S07253,60,23,2026-06-07,20,26,0.0034412354217437,0.00592264218959,0.4539976132471854,test,1
S07265,60,22,2026-06-07,40,13,0.0021821987208358,0.0,0.4176085880603112,test,1
S07509,60,18,2026-06-07,29,27,0.003005204409255,0.004423676012461,0.4021587218851161,test,1
S07697,60,15,2026-06-07,17,17,0.0033447933506121,0.0166618474703409,0.4442582188798334,test,1
S07709,60,23,2026-06-07,14,23,0.0029666572875099,0.0165265622090394,0.4121694156340349,test,1
S07737,60,20,2026-06-07,49,29,0.0030302294290968,0.014179774343848,0.4423982248217573,test,1
S08196,60,17,2026-06-07,33,13,0.0032820678570716,0.0033797338374599,0.4734102839323728,test,1
S08337,60,12,2026-06-07,42,31,0.0028278791938166,0.0,0.4003652437929572,test,1
S08646,60,19,2026-06-07,40,20,0.0031714463245425,0.0092265136958963,0.4791676125261254,test,1
S08649,60,5,2026-06-07,60,27,0.0024373749721807,0.0056630045144514,0.3727979011169243,test,1
S09384,60,12,2026-06-07,29,24,0.0035595510985389,0.0,0.4784695828135203,test,1
S09395,60,15,2026-06-07,26,13,0.0033119659418151,0.0,0.3738959986378403,test,1
S09599,60,14,2026-06-07,39,11,0.001884880560024,0.0,0.3156981651365006,test,1
S09762,60,19,2026-06-07,40,18,0.0031632149295887,0.0114809766915382,0.4533155525401354,test,1
S09768,60,19,2026-06-07,24,19,0.0033923791768532,0.0092878843699776,0.4254710434906585,test,1
S09769,60,20,2026-06-07,39,31,0.0029350523894593,0.0067109019074084,0.4654824093131684,test,1
S10045,60,18,2026-06-07,14,20,0.0034721991837858,0.0091774096965572,0.4004224824408252,test,1
S10050,60,18,2026-06-07,33,22,0.0034145733332777,0.0039435680959786,0.4674932721854299,test,1
S10052,60,18,2026-06-07,25,22,0.003454151000258,0.0039945667462365,0.4449691051214113,test,1
S10054,60,18,2026-06-07,49,21,0.0034380642702457,0.0026037778354066,0.4303435624534695,test,1
S10256,60,12,2026-06-07,24,17,0.0032428296073651,0.0,0.4697603734052568,test,1
S10258,60,13,2026-06-07,50,14,0.0031381265287556,0.0,0.3989944826252309,test,1
S10296,60,23,2026-06-07,40,20,0.0031251355882699,0.0,0.393012983180532,test,1
S10303,60,23,2026-06-07,26,27,0.0032717247519161,0.0,0.4378052312405544,test,1
S10492,60,15,2026-06-07,38,14,0.0033201361538523,0.0,0.4237842649155245,test,1
S10697,60,25,2026-06-07,28,27,0.0034716470854534,0.0,0.4349393809877109,test,1
S10825,60,20,2026-06-07,22,28,0.0031950069737311,0.0191343349663609,0.4829205133328685,test,1
S10906,60,25,2026-06-07,55,23,0.0026054912605156,0.0247389838101519,0.3768766690694398,test,1
S10946,60,17,2026-06-07,29,21,0.0034624741612841,0.0015960718007511,0.4702666869418352,test,1
S10950,60,17,2026-06-07,34,19,0.0034444816031114,0.008893248483902,0.4967440317675881,test,1
S11276,60,14,2026-06-07,48,24,0.0034620041124009,0.0136216631036561,0.4597284150853371,test,1
S11282,60,22,2026-06-07,51,26,0.0031896408319684,0.0150326266741169,0.419110878615838,test,1
S11283,60,13,2026-06-07,14,20,0.0032125783551615,0.0132939147573293,0.4055892039244551,test,1
S11507,60,23,2026-06-07,42,32,0.0031595707237861,0.0140260766495456,0.4331752151557381,test,1
S11693,60,22,2026-06-07,37,30,0.0031631423353644,0.0,0.4265322557865438,test,1
S11812,60,12,2026-06-07,54,17,0.0034314344185964,0.0,0.5036702839365369,test,1
S11943,60,16,2026-06-07,14,21,0.003163946274961,0.0,0.4321793188421421,test,1
S11945,60,16,2026-06-07,53,29,0.0032259600442061,0.0,0.4492675125925205,test,1
S11979,60,20,2026-06-07,26,18,0.0033264908603413,0.0,0.4221526670473394,test,1
S11980,60,20,2026-06-07,28,14,0.0026664233495744,0.0,0.4701122608130819,test,1
S11981,60,19,2026-06-07,40,22,0.0031816195047827,0.0,0.4724085223049652,test,1
S12117,60,16,2026-06-07,19,17,0.0031454133882718,0.0026215568988617,0.4397232716709747,test,1
S12180,60,16,2026-06-07,38,25,0.0033256627960306,0.0,0.4389073388102016,test,1
S12267,60,12,2026-06-07,52,18,0.0033682088117853,0.0,0.4605785449976865,test,1
S12538,60,15,2026-06-07,23,29,0.0030410504713919,0.0,0.4173934365543166,test,1
S13352,60,13,2026-06-07,15,21,0.0033252854085364,0.0,0.4490789985784451,test,1
S13467,60,17,2026-06-07,19,28,0.0027760838589301,0.003771065231082,0.4201598221430531,test,1
S13500,60,12,2026-06-07,18,20,0.0033511905559257,0.0079132566952202,0.4437966980115527,test,1
S13501,60,21,2026-06-07,58,16,0.0031598051842892,0.0039842553771414,0.4223417220103405,test,1
S13519,60,15,2026-06-07,49,27,0.0030962252709519,0.003977622870131,0.4380243195914411,test,1
S14006,60,17,2026-06-07,36,27,0.003293590634457,0.0,0.4882575283662358,test,1
S14021,60,17,2026-06-07,29,13,0.0033130799689398,0.0018683508138791,0.4501923962828562,test,1
S14315,60,18,2026-06-07,26,18,0.0034266004515852,0.0,0.4554410407194423,test,1
S14488,60,19,2026-06-07,53,22,0.0032948075582926,0.0,0.4536075367248646,test,1
S14779,60,12,2026-06-07,33,23,0.0033908765852781,0.0,0.4498949922528041,test,1
