ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00854,126,1,2026-05-06,40,13,0.0006603715121053,0.0,0.2123479065852066,val,1
S03164,126,1,2026-05-06,21,29,0.0020206265953451,0.0123332712947453,0.232464311571677,val,1
S04117,126,1,2026-05-06,45,31,0.0006759369810251,0.0,0.2072482526924772,val,1
S08694,126,1,2026-05-06,26,19,0.0018564350156056,0.0,0.2740288126533123,val,1
S08695,126,1,2026-05-06,46,24,0.0014573709637035,0.0,0.240403306963404,val,1
S08700,126,1,2026-05-06,21,26,0.0007490345396846,0.0,0.2058209834052499,val,1
S09461,126,1,2026-05-06,51,23,0.0009701008808663,0.0,0.2123571069907436,val,1
S10552,126,1,2026-05-06,23,18,0.0014468531846876,0.0,0.242844947031253,val,1
S14257,126,1,2026-05-06,29,24,0.0012979824330326,0.0,0.2681231159456635,val,1
S18598,126,1,2026-05-06,51,20,0.0009400217422406,0.0,0.2337793810762887,val,1
S25118,126,1,2026-05-06,47,18,0.0012759868440154,0.0,0.2621146321740513,val,1
S25654,126,1,2026-05-06,22,28,0.0008732933821247,0.0,0.1768511337583334,val,1
S26297,126,1,2026-05-06,40,17,0.0009020606554,0.0,0.2299318535587904,val,1
S26842,126,1,2026-05-06,39,24,0.001210132715559,0.0,0.2509990304069781,val,1
S27683,126,1,2026-05-06,45,16,0.0011386836560644,0.0,0.2303682322166394,val,1
S34770,126,1,2026-05-06,55,24,0.0013324797221532,0.0,0.273851817134286,val,1
S36596,126,1,2026-05-06,36,28,0.0007284814244558,0.0,0.2274270033387971,val,1
S37113,126,1,2026-05-06,41,31,0.0006607872387237,0.0,0.1847129409571259,val,1
S38211,126,1,2026-05-06,50,31,0.001818250777659,0.0041081849592487,0.2420863363809386,val,1
S00854,126,1,2026-05-06,42,13,0.0007276987235418,0.0,0.2123479065852066,val,2
S03164,126,1,2026-05-06,22,29,0.0020279240184537,0.0123332712947453,0.232464311571677,val,2
S04117,126,1,2026-05-06,46,31,0.0007050805795488,0.0,0.2072482526924772,val,2
S08694,126,1,2026-05-06,28,19,0.0009561578643648,0.0,0.2740288126533123,val,2
S08695,126,1,2026-05-06,44,24,0.0020083491271207,0.0,0.240403306963404,val,2
S08700,126,1,2026-05-06,19,26,0.0009502564726245,0.0,0.2058209834052499,val,2
