ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00460,44,10,2026-06-09,28,19,0.0013078128946198,0.0,0.191057293298213,val,1
S00477,44,4,2026-06-09,28,26,0.0009417676114049,0.0024248278957665,0.1692762684412174,val,1
S00739,44,8,2026-06-09,21,23,0.0006861139668267,0.0,0.2216569144407144,val,1
S00871,44,6,2026-06-09,42,22,0.0012622240177831,0.0,0.2107307743789138,val,1
S01136,44,7,2026-06-09,53,23,0.0010600586981928,0.007602527037156,0.2143061602525155,val,1
S01139,44,8,2026-06-09,39,19,0.0009623279993192,0.0,0.2168827099536045,val,1
S01143,44,4,2026-06-09,18,24,0.0010534952521242,0.0,0.233892845885298,val,1
S01519,44,12,2026-06-09,42,22,0.0031250025596191,0.0043705371275809,0.4207466500976102,val,1
S01730,44,15,2026-06-09,16,26,0.0026049429310441,0.0071418512483151,0.356019999962692,val,1
S01799,44,3,2026-06-09,59,25,0.0005611285253491,0.0,0.1355489063903327,val,1
S01806,44,4,2026-06-09,28,23,0.000843881550897,0.0,0.1766929093215929,val,1
S01842,44,8,2026-06-09,22,15,0.0009420235700815,0.0087847213016234,0.226730069092639,val,1
S01880,44,10,2026-06-09,48,13,0.0011223705702498,0.0,0.2639451127978758,val,1
S01998,44,10,2026-06-09,20,19,0.0012505486926691,0.0,0.1912340205989216,val,1
S02015,44,19,2026-06-09,49,29,0.0028162372259473,0.0,0.3588686239090064,val,1
S02366,44,18,2026-06-09,26,24,0.0029968628446212,0.0,0.3338483634405746,val,1
S02367,44,18,2026-06-09,35,28,0.0032553114652408,0.0,0.4040331011754259,val,1
S02545,44,13,2026-06-09,34,21,0.0034313742389074,0.0,0.4256298129886317,val,1
S02977,44,19,2026-06-09,55,23,0.0031926332034652,0.0,0.395890121538698,val,1
S03300,44,7,2026-06-09,21,22,0.0013618626828942,0.0,0.2024734095168887,val,1
S03301,44,4,2026-06-09,54,23,0.0009824527394643,0.0,0.1747571717282442,val,1
S04574,44,12,2026-06-09,36,14,0.0032739467848838,0.0,0.4510713729365698,val,1
S04674,44,3,2026-06-09,32,14,0.0007547556962,0.0,0.1510436915555791,val,1
S04903,44,11,2026-06-09,15,25,0.0024191469346756,0.0,0.3253728144972626,val,1
S05504,44,10,2026-06-09,27,28,0.0013977160565909,0.0,0.2311902450054472,val,1
S05505,44,10,2026-06-09,53,15,0.0008957649588084,0.0,0.1894051782712685,val,1
S05506,44,8,2026-06-09,20,25,0.0007827214646773,0.0,0.2065274432910545,val,1
S05790,44,19,2026-06-09,18,26,0.0031577424441704,0.0051233944292105,0.4427639095341446,val,1
S05941,44,1,2026-06-09,37,24,0.0010307877573125,0.0,0.2076607886954914,val,1
S06058,44,12,2026-06-09,30,13,0.002873828265945,0.0,0.4018560312140317,val,1
S06131,44,3,2026-06-09,49,12,0.0009799347764623,0.0,0.1434810917737626,val,1
S06350,44,18,2026-06-09,37,26,0.0032760359970269,0.006222163798149,0.4090557729558,val,1
S06409,44,7,2026-06-09,53,14,0.0012262236694665,0.0164815618744422,0.2564794951498387,val,1
S07107,44,13,2026-06-09,28,27,0.0034227695776876,0.0,0.4553709775837727,val,1
S07457,44,11,2026-06-09,57,15,0.0031664691083073,0.0,0.3625578704506385,val,1
S07465,44,15,2026-06-09,34,16,0.0030529618273162,0.0,0.3332907459263919,val,1
S07548,44,4,2026-06-09,42,30,0.0014742407125628,0.0,0.3040933541406456,val,1
S07924,44,3,2026-06-09,51,30,0.0008259100336818,0.0167662903106781,0.1756867370868705,val,1
S08373,44,11,2026-06-09,45,31,0.003116080262329,0.0067975107707036,0.3795320886315245,val,1
S08375,44,16,2026-06-09,38,23,0.0032044475582198,0.0134305267495828,0.3870594759748592,val,1
S08376,44,19,2026-06-09,17,17,0.0031499233833813,0.001133499823247,0.4458966996130189,val,1
S08382,44,15,2026-06-09,42,24,0.0030723722865726,0.004613353197671,0.4014763683011162,val,1
S08892,44,15,2026-06-09,55,21,0.0031197435241049,0.0,0.3835687379959094,val,1
S09232,44,1,2026-06-09,42,29,0.0014435377258173,0.0,0.1991174220720001,val,1
S09239,44,8,2026-06-09,52,30,0.0006892472898912,0.0,0.2003692283408501,val,1
S09240,44,8,2026-06-09,39,24,0.0008464239935967,0.0,0.1793140256273403,val,1
S09243,44,4,2026-06-09,54,14,0.0011748995967743,0.0,0.2003127138236147,val,1
S09248,44,4,2026-06-09,37,18,0.0008628459604738,0.0,0.1928526676057719,val,1
S09283,44,1,2026-06-09,54,26,0.0013192384093412,0.0,0.2067550393466887,val,1
S09284,44,3,2026-06-09,40,16,0.0005771972574138,0.0,0.1195424637575133,val,1
S09642,44,8,2026-06-09,23,19,0.0007651634486838,0.0,0.1983729863980769,val,1
S09852,44,12,2026-06-09,50,24,0.0032484697267376,0.0,0.4369947761080495,val,1
S10160,44,4,2026-06-09,29,12,0.0009566826155369,0.0,0.1951724534147316,val,1
