ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00321,26,16,2025-11-10,24,21,0.0005392810043204,0.0,0.1488740504314241,train,1
S00438,26,16,2025-11-10,49,27,0.0006618966512108,0.0,0.1895106739811891,train,1
S00446,26,3,2025-11-10,42,23,0.0028710304530008,0.0,0.3712156616363745,train,1
S00676,26,8,2025-11-10,43,23,0.0015556534733339,0.0,0.1983910076937347,train,1
S00677,26,8,2025-11-10,49,17,0.0016027223777276,0.0,0.2731692775420134,train,1
S00717,26,1,2025-11-10,22,22,0.0030829558789833,0.0,0.352032892514402,train,1
S00757,26,14,2025-11-10,40,19,0.0006616432615144,0.0,0.1920597617563409,train,1
S00758,26,11,2025-11-10,45,31,0.0010145492372752,0.0,0.2221387845971354,train,1
S00761,26,14,2025-11-10,62,23,0.0005571472563628,0.0,0.1513168094378132,train,1
S00918,26,9,2025-11-10,17,16,0.0008737333755139,0.0,0.2317418900023015,train,1
S00919,26,17,2025-11-10,22,14,0.0008876229688736,0.0,0.2101728914093422,train,1
S01128,26,25,2025-11-10,43,31,0.0023908486814509,0.0,0.2492407828181629,train,1
S01316,26,16,2025-11-10,47,13,0.0008533131425469,0.0057552623884338,0.1694723382722277,train,1
S01782,26,3,2025-11-10,54,24,0.002786010836218,0.0043739989087004,0.3436480695374877,train,1
S01786,26,3,2025-11-10,55,29,0.0026835540031819,0.0147239627308951,0.254800241348289,train,1
S01787,26,3,2025-11-10,42,27,0.0031480246106657,0.0073029167585041,0.4107708945923066,train,1
S01788,26,1,2025-11-10,37,18,0.0024482583477628,0.0086467113790373,0.4006095745844851,train,1
S01789,26,1,2025-11-10,24,29,0.0023549734428128,0.0160733606171794,0.2737846038298528,train,1
S02071,26,9,2025-11-10,22,27,0.000812551879652,0.0,0.2202626592509206,train,1
S02072,26,11,2025-11-10,61,24,0.0006685230069758,0.0,0.1718000983648476,train,1
S02127,26,25,2025-11-10,33,21,0.0026237285173501,0.0,0.3197948973082768,train,1
S02128,26,25,2025-11-10,52,16,0.0025391050270462,0.0,0.2441594597384146,train,1
S02130,26,1,2025-11-10,52,26,0.0030837273306521,0.0065224381057369,0.3847541263189515,train,1
S02131,26,1,2025-11-10,53,26,0.0028132496686469,0.0,0.35906903803907,train,1
S02134,26,1,2025-11-10,40,29,0.002831610420706,0.0,0.3908755576121805,train,1
S02232,26,8,2025-11-10,21,22,0.002342290733172,0.0,0.2619091226331101,train,1
S02233,26,24,2025-11-10,26,21,0.0028116734746245,0.0,0.3752247732991001,train,1
S02234,26,24,2025-11-10,55,25,0.0027347908521521,0.0,0.2952912747854475,train,1
S02235,26,24,2025-11-10,47,22,0.0024013787959127,0.0,0.2793994475547458,train,1
S02394,26,17,2025-11-10,34,17,0.0009382537476866,0.0,0.2124504925815118,train,1
S02397,26,16,2025-11-10,20,18,0.0010562984310929,0.0,0.1719522173319156,train,1
S02398,26,16,2025-11-10,54,15,0.0006474628763941,0.0,0.2146184985381938,train,1
S02399,26,8,2025-11-10,24,25,0.0020229405880484,0.0,0.2334994900022648,train,1
S02408,26,24,2025-11-10,22,20,0.0023373159498045,0.0,0.2976197314907129,train,1
S02891,26,1,2025-11-10,55,17,0.0030179561012682,0.0,0.4337597326047051,train,1
S03115,26,14,2025-11-10,54,26,0.0005709870928356,0.0,0.2012855844686036,train,1
S03116,26,11,2025-11-10,25,21,0.0007533115087432,0.0,0.161590392595162,train,1
S03117,26,16,2025-11-10,36,30,0.0010823873677131,0.0,0.158005437727969,train,1
S03123,26,9,2025-11-10,55,30,0.0009073057029938,0.0,0.2141898349415217,train,1
S03131,26,25,2025-11-10,16,17,0.0022611146157565,0.0,0.3213178161485964,train,1
S03271,26,24,2025-11-10,54,29,0.0018506226299515,0.0,0.2667416505054684,train,1
S03279,26,3,2025-11-10,51,13,0.0031738356981726,0.0,0.3455280432914014,train,1
S03280,26,3,2025-11-10,21,16,0.002807967790995,0.0,0.3162287216860652,train,1
S03497,26,14,2025-11-10,26,23,0.0008053246533897,0.0,0.203181827999128,train,1
S03502,26,16,2025-11-10,26,28,0.0008846920683969,0.0,0.160434856193031,train,1
S03503,26,14,2025-11-10,39,31,0.0005487632574766,0.0,0.1368575540356212,train,1
S03658,26,8,2025-11-10,50,19,0.0018957851557798,0.0,0.2966699443866087,train,1
S04523,26,8,2025-11-10,25,16,0.0023238810926806,0.0,0.2637071182811886,train,1
S04643,26,3,2025-11-10,17,22,0.0026597770394885,0.0,0.4049971587946468,train,1
S04644,26,1,2025-11-10,23,25,0.0030488401482776,0.0,0.3737889539311664,train,1
S04647,26,3,2025-11-10,18,23,0.0026063971970212,0.0,0.2949274655359472,train,1
S04653,26,25,2025-11-10,38,15,0.0018885972081494,0.0,0.2912947671048433,train,1
S04772,26,24,2025-11-10,31,18,0.0028353069145608,0.0,0.3527253829923076,train,1
S04773,26,24,2025-11-10,49,24,0.0023540170283475,0.0,0.2718537906786589,train,1
S05035,26,17,2025-11-10,33,31,0.0010469170028412,0.0,0.1682586649736636,train,1
S05037,26,16,2025-11-10,51,25,0.000761048399817,0.0,0.2120376335007908,train,1
S05038,26,17,2025-11-10,29,26,0.0008520988558451,0.0,0.1754697327225891,train,1
S05039,26,16,2025-11-10,62,20,0.0012242438410985,0.0,0.2114661684921304,train,1
S05041,26,11,2025-11-10,39,13,0.000884180324369,0.0,0.1514245080609694,train,1
S05044,26,9,2025-11-10,51,28,0.0007531838565396,0.0,0.1381036348598112,train,1
S05089,26,16,2025-11-10,17,20,0.0012907265424502,0.0,0.2347540171411103,train,1
S05090,26,14,2025-11-10,60,21,0.0006281040454561,0.0,0.1521643232460197,train,1
S05136,26,3,2025-11-10,26,23,0.0028010633657952,0.0,0.4005529496055136,train,1
S05154,26,14,2025-11-10,46,32,0.0023049513416359,0.0,0.3004536216320498,train,1
S05157,26,25,2025-11-10,17,16,0.0020797574865883,0.0,0.2908569269166692,train,1
S05187,26,16,2025-11-10,39,15,0.0009034536695247,0.0,0.2954369449952408,train,1
S05188,26,9,2025-11-10,17,25,0.0008457061813554,0.0,0.2425879225971811,train,1
S05189,26,16,2025-11-10,52,24,0.0007191068048394,0.0,0.1903175029053632,train,1
S05191,26,14,2025-11-10,16,24,0.0011174866700483,0.0,0.1832927961959458,train,1
S05481,26,3,2025-11-10,49,21,0.0026721421524442,0.0,0.3761462127222301,train,1
S05482,26,3,2025-11-10,33,17,0.0030408656883602,0.0,0.3919773330957921,train,1
S05490,26,25,2025-11-10,29,14,0.0020551312078966,0.0,0.2755132204279802,train,1
S05492,26,24,2025-11-10,37,12,0.0012151847732108,0.0038169404572648,0.2975902319863848,train,1
S05520,26,14,2025-11-10,57,27,0.0008025305876889,0.0,0.1423260832430019,train,1
S05524,26,17,2025-11-10,40,31,0.0010684610846285,0.0,0.2053933936202211,train,1
S05525,26,16,2025-11-10,60,27,0.000692460429931,0.0,0.1876182047274874,train,1
S05527,26,16,2025-11-10,20,23,0.0005080630392479,0.003889801987947,0.2086275083129528,train,1
S05533,26,25,2025-11-10,44,29,0.0023841530542673,0.0137264852809683,0.2650926932688016,train,1
S05630,26,24,2025-11-10,57,21,0.0022033638875822,0.0,0.2849651739686312,train,1
S06045,26,17,2025-11-10,43,22,0.0007638643961423,0.0,0.1580281293549638,train,1
S06046,26,16,2025-11-10,36,28,0.0006561625854461,0.0,0.1846823562466086,train,1
S06048,26,9,2025-11-10,33,27,0.0007179692271126,0.0,0.1832189659750812,train,1
S06049,26,11,2025-11-10,53,20,0.0008364376143637,0.0,0.2227799644487249,train,1
S06052,26,9,2025-11-10,50,24,0.0006383544638672,0.0,0.1977362914001996,train,1
S06373,26,3,2025-11-10,49,17,0.0025651751158751,0.0092273701994931,0.2876993591302734,train,1
S06376,26,3,2025-11-10,18,22,0.0026836074535188,0.0092972790960874,0.2555460860924143,train,1
S06383,26,25,2025-11-10,58,25,0.0023704084740126,0.0031087758804028,0.2980908312922674,train,1
S06425,26,8,2025-11-10,29,22,0.0018694430015356,0.0045060155761262,0.2367212618856333,train,1
S06576,26,11,2025-11-10,46,20,0.0005726980011896,0.0061757734472807,0.1497286438602345,train,1
S06586,26,24,2025-11-10,60,19,0.0019710846980096,0.0,0.2898789055084252,train,1
S06587,26,8,2025-11-10,50,27,0.0016752152737141,0.0,0.2040321208947519,train,1
S06810,26,24,2025-11-10,26,24,0.0022561196562439,0.0044955203089878,0.273058306482537,train,1
S06872,26,3,2025-11-10,30,21,0.0026602188588582,0.0,0.3402291799319307,train,1
S06873,26,3,2025-11-10,31,15,0.0031796489010414,0.0,0.3397327846677371,train,1
S07065,26,17,2025-11-10,44,15,0.0010238759638404,0.0,0.1754736713981668,train,1
S07067,26,11,2025-11-10,41,21,0.0009844865650685,0.0,0.1368784841808526,train,1
S07070,26,16,2025-11-10,17,19,0.0008349740291291,0.0,0.2196471037492589,train,1
S07071,26,16,2025-11-10,42,22,0.0006670288916225,0.0,0.1846088450629253,train,1
S07072,26,14,2025-11-10,20,16,0.0005226397061118,0.0047209240472662,0.1862911134115893,train,1
S07073,26,14,2025-11-10,56,25,0.0005943435293166,0.0,0.1355189324202955,train,1
S07074,26,25,2025-11-10,31,28,0.0027446790052227,0.0,0.323970237659212,train,1
S07134,26,1,2025-11-10,52,27,0.002611052604524,0.0,0.386238808539509,train,1
S07135,26,3,2025-11-10,27,24,0.0029335752346214,0.0,0.4241632649867335,train,1
S07146,26,25,2025-11-10,20,15,0.0023056968774508,0.0,0.2945588622572942,train,1
S07232,26,24,2025-11-10,15,23,0.0018401807256245,0.008874683047034,0.2985545771556692,train,1
S07307,26,8,2025-11-10,14,25,0.0020034177152263,0.0,0.2611686163176889,train,1
S07657,26,14,2025-11-10,21,28,0.0006302699310614,0.0,0.205163133831416,train,1
S07658,26,17,2025-11-10,48,20,0.0006326359364394,0.0,0.1863527910070775,train,1
S07659,26,17,2025-11-10,22,17,0.0007212149306003,0.0,0.1792000690618432,train,1
S07662,26,8,2025-11-10,49,13,0.0018353145531167,0.0,0.2189548900673192,train,1
