ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S04478,253,1,2026-06-02,53,16,0.0032859690300293,0.0,0.4012442776806998,val,1
S07020,253,1,2026-06-02,54,18,0.0033671364649809,0.0,0.3841076559130722,val,1
S07362,253,1,2026-06-02,49,23,0.0031446962703614,0.0043826774014338,0.4067228301928409,val,1
S08364,253,1,2026-06-02,62,16,0.0032010682328795,0.0170014504255493,0.3801922677523394,val,1
S10476,253,1,2026-06-02,23,14,0.0031741249161394,0.0,0.3449764387781731,val,1
S14409,253,1,2026-06-02,45,32,0.0032230271947509,0.0,0.3472697384211721,val,1
S21424,253,1,2026-06-02,47,15,0.0032113838376938,0.0,0.4340284059413538,val,1
S24042,253,1,2026-06-02,41,23,0.0032725287760255,0.0,0.3774238411162711,val,1
S25080,253,1,2026-06-02,40,12,0.0033059482787793,0.0,0.3565888798078105,val,1
S25478,253,1,2026-06-02,54,26,0.0033467188062321,0.0,0.418290490105056,val,1
S27267,253,1,2026-06-02,50,12,0.0031803098535477,0.0,0.3752943930002526,val,1
S27930,253,1,2026-06-02,23,24,0.0030671237036448,0.0023254072971936,0.3732650123914788,val,1
S30776,253,1,2026-06-02,62,18,0.0032402055065854,0.0,0.3645964880141779,val,1
S34072,253,1,2026-06-02,24,26,0.0032403125803623,0.0119794397141324,0.4015871766227643,val,1
S34581,253,1,2026-06-02,41,32,0.0032024336756558,0.0,0.3506542361646129,val,1
S37790,253,1,2026-06-02,35,15,0.00318171707011,0.0,0.3489959273927148,val,1
S37977,253,1,2026-06-02,20,26,0.0028546073759565,0.0098108057043109,0.4012897228357905,val,1
S43696,253,1,2026-06-02,48,13,0.003207347079072,0.0088174243185863,0.3628398183541583,val,1
S43697,253,1,2026-06-02,57,15,0.0031942760984353,0.0087904961235739,0.3522803278276332,val,1
S04478,253,1,2026-06-02,52,16,0.0033064561608078,0.0,0.4012442776806998,val,2
S07020,253,1,2026-06-02,53,18,0.0033172374995345,0.0,0.3841076559130722,val,2
S07362,253,1,2026-06-02,50,23,0.0030397041102837,0.0043826774014338,0.4067228301928409,val,2
S08364,253,1,2026-06-02,63,17,0.0032126500010269,0.0170014504255493,0.3801922677523394,val,2
S10476,253,1,2026-06-02,23,15,0.0033341994728851,0.0,0.3449764387781731,val,2
S14409,253,1,2026-06-02,44,32,0.0031283598293732,0.0,0.3472697384211721,val,2
S21424,253,1,2026-06-02,48,15,0.0031367952531972,0.0,0.4340284059413538,val,2
S24042,253,1,2026-06-02,42,23,0.003242091832616,0.0,0.3774238411162711,val,2
S25080,253,1,2026-06-02,39,12,0.0032576122314648,0.0,0.3565888798078105,val,2
S25478,253,1,2026-06-02,53,26,0.0032487527659582,0.0,0.418290490105056,val,2
S27267,253,1,2026-06-02,49,12,0.0031638829916307,0.0,0.3752943930002526,val,2
S27930,253,1,2026-06-02,22,24,0.0033603807116551,0.0023254072971936,0.3732650123914788,val,2
S30776,253,1,2026-06-02,61,18,0.0031209679894911,0.0,0.3645964880141779,val,2
S34072,253,1,2026-06-02,23,26,0.0032745708240566,0.0119794397141324,0.4015871766227643,val,2
S34581,253,1,2026-06-02,40,32,0.003181772362628,0.0,0.3506542361646129,val,2
S37790,253,1,2026-06-02,36,15,0.0029665092799043,0.0,0.3489959273927148,val,2
S37977,253,1,2026-06-02,17,26,0.0025004226963752,0.0098108057043109,0.4012897228357905,val,2
S43696,253,1,2026-06-02,49,13,0.0031283319459034,0.0088174243185863,0.3628398183541583,val,2
S43697,253,1,2026-06-02,58,15,0.0031871946232049,0.0087904961235739,0.3522803278276332,val,2
S04478,253,1,2026-06-02,55,16,0.0024788341219796,0.0,0.4012442776806998,val,3
S07020,253,1,2026-06-02,56,18,0.0032974587685383,0.0,0.3841076559130722,val,3
S07362,253,1,2026-06-02,47,23,0.0030206169516122,0.0043826774014338,0.4067228301928409,val,3
S08364,253,1,2026-06-02,59,15,0.0031512703471317,0.0170014504255493,0.3801922677523394,val,3
S10476,253,1,2026-06-02,26,14,0.0031932468253479,0.0,0.3449764387781731,val,3
S14409,253,1,2026-06-02,50,31,0.0026696475095766,0.0,0.3472697384211721,val,3
S21424,253,1,2026-06-02,45,15,0.0031912955814208,0.0,0.4340284059413538,val,3
S24042,253,1,2026-06-02,39,23,0.0032130311155646,0.0,0.3774238411162711,val,3
S25080,253,1,2026-06-02,42,12,0.003141732155456,0.0,0.3565888798078105,val,3
S25478,253,1,2026-06-02,56,26,0.0033023786955557,0.0,0.418290490105056,val,3
S27267,253,1,2026-06-02,43,11,0.002515237363424,0.0,0.3752943930002526,val,3
S27930,253,1,2026-06-02,26,24,0.0031653624330515,0.0023254072971936,0.3732650123914788,val,3
S30776,253,1,2026-06-02,64,18,0.0032766312694701,0.0,0.3645964880141779,val,3
S34072,253,1,2026-06-02,26,26,0.0032480147838264,0.0119794397141324,0.4015871766227643,val,3
S34581,253,1,2026-06-02,43,32,0.0032468447705274,0.0,0.3506542361646129,val,3
S37790,253,1,2026-06-02,33,15,0.0032022321168245,0.0,0.3489959273927148,val,3
S37977,253,1,2026-06-02,22,26,0.0031620069861231,0.0098108057043109,0.4012897228357905,val,3
S43696,253,1,2026-06-02,46,13,0.002991159164551,0.0088174243185863,0.3628398183541583,val,3
S43697,253,1,2026-06-02,55,15,0.0025659112014271,0.0087904961235739,0.3522803278276332,val,3
S04478,253,1,2026-06-02,54,16,0.003200786210385,0.0,0.4012442776806998,val,4
S07020,253,1,2026-06-02,55,18,0.0031154738955963,0.0,0.3841076559130722,val,4
S07362,253,1,2026-06-02,48,23,0.0031936039043011,0.0043826774014338,0.4067228301928409,val,4
S08364,253,1,2026-06-02,60,15,0.0029806752130244,0.0170014504255493,0.3801922677523394,val,4
S10476,253,1,2026-06-02,25,14,0.0029993516577423,0.0,0.3449764387781731,val,4
S14409,253,1,2026-06-02,46,32,0.0031203476064909,0.0,0.3472697384211721,val,4
S21424,253,1,2026-06-02,46,15,0.0032288593214119,0.0,0.4340284059413538,val,4
S24042,253,1,2026-06-02,40,23,0.0032037344190024,0.0,0.3774238411162711,val,4
S25080,253,1,2026-06-02,41,12,0.0032412333015284,0.0,0.3565888798078105,val,4
S25478,253,1,2026-06-02,55,26,0.0031688102781798,0.0,0.418290490105056,val,4
S27267,253,1,2026-06-02,44,11,0.0026670868502908,0.0,0.3752943930002526,val,4
S27930,253,1,2026-06-02,24,24,0.0032037376703668,0.0023254072971936,0.3732650123914788,val,4
S30776,253,1,2026-06-02,63,18,0.0032149106580729,0.0,0.3645964880141779,val,4
S34072,253,1,2026-06-02,25,26,0.0032274586350105,0.0119794397141324,0.4015871766227643,val,4
S34581,253,1,2026-06-02,42,32,0.0032091210906675,0.0,0.3506542361646129,val,4
S37790,253,1,2026-06-02,34,15,0.0031063957773189,0.0,0.3489959273927148,val,4
S37977,253,1,2026-06-02,21,26,0.00335809921011,0.0098108057043109,0.4012897228357905,val,4
S43696,253,1,2026-06-02,47,13,0.0030844910066948,0.0088174243185863,0.3628398183541583,val,4
