ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S08375,286,1,2026-06-06,38,23,0.0032044475582198,0.0134305267495828,0.3870594759748592,val,1
S13363,286,1,2026-06-06,23,18,0.0032832670029446,0.0,0.414801236058613,val,1
S20591,286,1,2026-06-06,15,24,0.0033288665752007,0.0030867072845049,0.4223619219017747,val,1
S22271,286,1,2026-06-06,36,27,0.0032884455723131,0.0,0.4031648190776513,val,1
S22635,286,1,2026-06-06,16,18,0.0033757796598084,0.0047448112577091,0.4143158130205842,val,1
S23702,286,1,2026-06-06,61,28,0.0015960238957733,0.0,0.2815975888634509,val,1
S26258,286,1,2026-06-06,18,28,0.001779421657673,0.0,0.3142050502115868,val,1
S28702,286,1,2026-06-06,49,19,0.0033098582283935,0.0,0.4586053751832168,val,1
S28705,286,1,2026-06-06,18,26,0.0032906735827626,0.0061861624135244,0.4565214991649604,val,1
S28718,286,1,2026-06-06,39,12,0.0031807056372461,0.0089116697021161,0.3504907684259178,val,1
S30702,286,1,2026-06-06,32,22,0.0033027058158406,0.0026340196624002,0.404796476340753,val,1
S30720,286,1,2026-06-06,22,25,0.0031645026396999,0.0091885426083998,0.4079502705219813,val,1
S32128,286,1,2026-06-06,38,29,0.0032279398117934,0.0043930012507236,0.417941690576129,val,1
S33379,286,1,2026-06-06,48,20,0.003227694020381,0.0036087452167788,0.4069760369344409,val,1
S34203,286,1,2026-06-06,25,28,0.0032758304407619,0.0178314598679058,0.4054778319258281,val,1
S34204,286,1,2026-06-06,20,27,0.0033354690930417,0.0273506468492183,0.3996828339726577,val,1
S35460,286,1,2026-06-06,48,26,0.0032685552434532,0.0019465920929977,0.4105558608451946,val,1
S35857,286,1,2026-06-06,39,22,0.0031431068485521,0.0,0.3833379338067269,val,1
S35867,286,1,2026-06-06,46,24,0.0032220286924584,0.0,0.423020751705281,val,1
S37748,286,1,2026-06-06,43,16,0.0033195331948817,0.0,0.4162455497854754,val,1
S38224,286,1,2026-06-06,27,28,0.0032401932448396,0.0054755884605002,0.4094018642107529,val,1
S39128,286,1,2026-06-06,47,29,0.0032635738989234,0.0,0.413697809220211,val,1
S40679,286,1,2026-06-06,39,29,0.003228134226401,0.0,0.4024799996253548,val,1
S08375,286,1,2026-06-06,40,23,0.0032583509318264,0.0134305267495828,0.3870594759748592,val,2
S13363,286,1,2026-06-06,21,18,0.0033236757285724,0.0,0.414801236058613,val,2
S20591,286,1,2026-06-06,15,25,0.0031847397283763,0.0030867072845049,0.4223619219017747,val,2
S22271,286,1,2026-06-06,38,27,0.0032541109174974,0.0,0.4031648190776513,val,2
S22635,286,1,2026-06-06,14,19,0.003323281478331,0.0047448112577091,0.4143158130205842,val,2
S23702,286,1,2026-06-06,60,28,0.0017847164260569,0.0,0.2815975888634509,val,2
S26258,286,1,2026-06-06,22,29,0.0017826060769351,0.0,0.3142050502115868,val,2
S28702,286,1,2026-06-06,51,19,0.003266721984636,0.0,0.4586053751832168,val,2
S28705,286,1,2026-06-06,17,26,0.0032390233641044,0.0061861624135244,0.4565214991649604,val,2
S28718,286,1,2026-06-06,37,12,0.0032316292618597,0.0089116697021161,0.3504907684259178,val,2
S30702,286,1,2026-06-06,30,22,0.0033488982323113,0.0026340196624002,0.404796476340753,val,2
S30720,286,1,2026-06-06,24,25,0.0033117253454225,0.0091885426083998,0.4079502705219813,val,2
S32128,286,1,2026-06-06,40,29,0.0031801751027739,0.0043930012507236,0.417941690576129,val,2
