split,TP,FP,TN,FN,accuracy,precision,recall,f1,fn_rmse,fp_rmse
Train OOF,571,765,17818,7093,0.7006134034365832,0.4273952095808383,0.07450417536534447,0.12688888888888888,0.009323999640781653,0.004528852322675459
Val,110,149,6045,2445,0.7035089724539948,0.4247104247104247,0.043052837573385516,0.07818052594171997,0.009792976808906128,0.00438262603521298
Test,118,150,6044,2437,0.7043090638930164,0.44029850746268656,0.0461839530332681,0.08359900814736097,0.015164139185873893,0.004392826216076017
