feature,corr,abs_corr
X386_min,-0.03432685369679085,0.03432685369679085
X511_std,0.03276312510683374,0.03276312510683374
X511_max,0.03252606135308394,0.03252606135308394
X511_range,0.03252038024854155,0.03252038024854155
X510_range,0.03159429087328678,0.03159429087328678
X975_median,-0.03149995667665688,0.03149995667665688
X511_mean,0.031230149622782345,0.031230149622782345
X585_median,0.03118506230497517,0.03118506230497517
X668_range,0.030886721542033653,0.030886721542033653
X636_max,0.03001221361644264,0.03001221361644264
X636_range,0.030005674106122905,0.030005674106122905
X636_std,0.029882836532933322,0.029882836532933322
X457_min,0.02969165370961024,0.02969165370961024
X636_mean,0.02925504336279678,0.02925504336279678
X668_std,0.029009493016982624,0.029009493016982624
X975_mean,-0.02736264172110514,0.02736264172110514
X514_max,0.027250984148688772,0.027250984148688772
X514_range,0.027244067334302013,0.027244067334302013
X510_std,0.027050259919766208,0.027050259919766208
X514_std,0.027043591568975258,0.027043591568975258
X483_std,0.026528393107219533,0.026528393107219533
X57_std,-0.026075499708890434,0.026075499708890434
X453_min,0.02598583707229432,0.02598583707229432
X514_mean,0.025758789866820873,0.025758789866820873
X464_max,0.0257090542185613,0.0257090542185613
X987_min,-0.025684654543621795,0.025684654543621795
X67_max,-0.025569615693062563,0.025569615693062563
X510_max,0.025453149658823247,0.025453149658823247
X585_mean,0.025218440855461603,0.025218440855461603
X552_range,0.025196021237176767,0.025196021237176767
X457_mean,0.025147599199815403,0.025147599199815403
X285_range,0.02511745462932256,0.02511745462932256
X655_mean,-0.024827712653995377,0.024827712653995377
X394_std,-0.02481875336323013,0.02481875336323013
X131_range,0.024787786863701748,0.024787786863701748
X75_median,-0.024640071304199714,0.024640071304199714
X655_max,-0.024580902636053257,0.024580902636053257
X986_max,-0.024571246859066746,0.024571246859066746
X285_std,0.024530369015146575,0.024530369015146575
X1016_range,-0.024487399662001846,0.024487399662001846
X104_range,0.024130628549546004,0.024130628549546004
X1016_std,-0.024118227373089718,0.024118227373089718
X720_median,0.023898108880058666,0.023898108880058666
X453_mean,0.02386271758417155,0.02386271758417155
X1080_max,0.02366527307005359,0.02366527307005359
X454_median,0.023631385405554362,0.023631385405554362
X932_median,0.023599987759853794,0.023599987759853794
X57_range,-0.0235928823895411,0.0235928823895411
X119_max,-0.023402695836639884,0.023402695836639884
